seed,run_name,boundary_distance_band,count,rmse,mae,bias,wet_dry_iou,wet_dry_class_error_rate,pred_wet_fraction,target_wet_fraction
all,aggregate,boundary_0px,4497702,0.08897919320625353,0.04344489740763765,-0.01951674027435158,0.6856988765178941,0.13293966563369472,0.3344559065940785,0.3785426424427408
all,aggregate,far_field_gt3px,9098397,0.01590672028999443,0.008796384227862447,-0.001995694319669936,0.8343429378878172,0.0014817994862171874,0.00891113016941336,0.007497034917249709
all,aggregate,near_boundary_1_3px,8817213,0.0628368132542308,0.021679960122752164,-0.007544398815362005,0.9166161570446314,0.00825374185697907,0.09536210591714185,0.09435396422883285
all,aggregate,no_target_boundary_frame,0,,,,,,,
seed123,phase10_margin_aware_boundary_band_seed123_40e,boundary_0px,1499234,0.09512119037129402,0.046600888528020606,-0.020316175242876388,0.6695527034844074,0.14059979963101157,0.33182411818301877,0.3785426424427408
seed123,phase10_margin_aware_boundary_band_seed123_40e,far_field_gt3px,3032799,0.01757374066060061,0.009150398939414708,-0.001956104259859919,0.8441602028639618,0.0013779350362486931,0.008809024270978722,0.007497034917249709
seed123,phase10_margin_aware_boundary_band_seed123_40e,near_boundary_1_3px,2939071,0.07053881363612376,0.024045408782311015,-0.007672085350125792,0.9075946108298292,0.00915935681717114,0.09472959312653556,0.09435396422883285
seed123,phase10_margin_aware_boundary_band_seed123_40e,no_target_boundary_frame,0,,,,,,,
seed202,phase10_margin_aware_boundary_band_seed202_40e,boundary_0px,1499234,0.07389323988649034,0.03662789116609239,-0.014363861280147517,0.7504857152467337,0.10390706187292978,0.3504249503413076,0.3785426424427408
seed202,phase10_margin_aware_boundary_band_seed202_40e,far_field_gt3px,3032799,0.014704073208071445,0.008785653760778712,-0.0024507903808233655,0.8330756772673734,0.0014953183511337217,0.008923769758562964,0.007497034917249709
seed202,phase10_margin_aware_boundary_band_seed202_40e,near_boundary_1_3px,2939071,0.05309327618737695,0.019308204196397265,-0.007040948572712974,0.9267137441052584,0.007228134332243079,0.09567547024212752,0.09435396422883285
seed202,phase10_margin_aware_boundary_band_seed202_40e,no_target_boundary_frame,0,,,,,,,
seed42,phase10_margin_aware_boundary_band_seed42_40e,boundary_0px,1499234,0.09614384386081627,0.04710591252879994,-0.02387018430003085,0.6386020217041863,0.1543121353971428,0.32111865125790906,0.3785426424427408
seed42,phase10_margin_aware_boundary_band_seed42_40e,far_field_gt3px,3032799,0.015297879638629336,0.008453099983393924,-0.0015801883183265237,0.8259917521258349,0.0015721450712691478,0.009000596478698391,0.007497034917249709
seed42,phase10_margin_aware_boundary_band_seed42_40e,near_boundary_1_3px,2939071,0.06364569973172056,0.021686267389548205,-0.007920162523247249,0.9155911636696631,0.00837373442152299,0.09568125438276244,0.09435396422883285
seed42,phase10_margin_aware_boundary_band_seed42_40e,no_target_boundary_frame,0,,,,,,,
