seed,run_name,depth_bin,lower_bound_exclusive,upper_bound_inclusive,count,rmse,mae,bias,wet_dry_iou,wet_dry_class_error_rate,pred_wet_fraction,target_wet_fraction
all,aggregate,deep,0.3,inf,1023948,0.23830447169632027,0.16558430038975872,-0.09615840083895902,0.9794042275584307,0.020595772441569297,0.9794042275584307,1.0
all,aggregate,dry_or_near_dry,-inf,0.05,19810590,0.014864582949636477,0.010240408510609587,-0.001390167776825874,0.0,0.01281249069310909,0.01281249069310909,0.0
all,aggregate,moderate,0.15,0.3,589557,0.11049362034763796,0.08988242762648019,-0.05431218591221008,0.8939424008195984,0.10605759918040156,0.8939424008195984,1.0
all,aggregate,shallow,0.05,0.15,989217,0.05508954358721913,0.04163187857436238,-0.014594671157515506,0.6494793356766008,0.35052066432339923,0.6494793356766008,1.0
seed123,phase10_margin_aware_boundary_band_seed123_40e,deep,0.3,inf,341316,0.2633552767836483,0.19168126362266474,-0.10040608654243464,0.9733648583717142,0.02663514162828581,0.9733648583717142,1.0
seed123,phase10_margin_aware_boundary_band_seed123_40e,dry_or_near_dry,-inf,0.05,6603530,0.015193368524091849,0.010489914700660404,-0.0014398159912874515,0.0,0.013396774149583632,0.013396774149583632,0.0
seed123,phase10_margin_aware_boundary_band_seed123_40e,moderate,0.15,0.3,196519,0.11822999750292511,0.09634042856490438,-0.05283527120750161,0.878892117301635,0.12110788269836505,0.878892117301635,1.0
seed123,phase10_margin_aware_boundary_band_seed123_40e,shallow,0.05,0.15,329739,0.059874665724531095,0.044462582893379864,-0.014492579554332195,0.6344563427438065,0.36554365725619353,0.6344563427438065,1.0
seed202,phase10_margin_aware_boundary_band_seed202_40e,deep,0.3,inf,341316,0.19586079950771282,0.12820388688146875,-0.07017640662567674,0.9877239859836632,0.012276014016336767,0.9877239859836632,1.0
seed202,phase10_margin_aware_boundary_band_seed202_40e,dry_or_near_dry,-inf,0.05,6603530,0.014673608261166048,0.010194679413905193,-0.0021815702590449156,0.0,0.011177052273556719,0.011177052273556719,0.0
seed202,phase10_margin_aware_boundary_band_seed202_40e,moderate,0.15,0.3,196519,0.09645445149545283,0.07706767006783402,-0.04358325668031482,0.9328410993339067,0.06715890066609335,0.9328410993339067,1.0
seed202,phase10_margin_aware_boundary_band_seed202_40e,shallow,0.05,0.15,329739,0.048738258354538044,0.036643873127683975,-0.008303714468365482,0.7259529506670427,0.27404704933295726,0.7259529506670427,1.0
seed42,phase10_margin_aware_boundary_band_seed42_40e,deep,0.3,inf,341316,0.25029903934652736,0.17686775066514265,-0.11789270934876564,0.9771238383199147,0.022876161680085317,0.9771238383199147,1.0
seed42,phase10_margin_aware_boundary_band_seed42_40e,dry_or_near_dry,-inf,0.05,6603530,0.014721217758352903,0.010036631417263164,-0.0005491170801452542,0.0,0.013863645656186918,0.013863645656186918,0.0
seed42,phase10_margin_aware_boundary_band_seed42_40e,moderate,0.15,0.3,196519,0.11551937884941002,0.09623918424670215,-0.0665180298488138,0.8700939858232537,0.12990601417674627,0.8700939858232537,1.0
seed42,phase10_margin_aware_boundary_band_seed42_40e,shallow,0.05,0.15,329739,0.056072988282115974,0.0437891797020233,-0.02098771944984884,0.5880287136189531,0.41197128638104685,0.5880287136189531,1.0
