seed,run_name,forecast_step,count,rmse,mae,bias,wet_dry_iou,wet_dry_class_error_rate,pred_wet_fraction,target_wet_fraction
all,aggregate,0,1867776,0.0771993936466906,0.027283278532053177,-0.022717786715723387,0.6696771978021978,0.04634977641858553,0.0996141935649671,0.13466925370065788
all,aggregate,1,1867776,0.07044418920150473,0.024349877693946465,-0.019231324156070175,0.7166034356811273,0.038633647717927634,0.1031751130756579,0.1308384945518092
all,aggregate,2,1867776,0.06352580851649033,0.02216476418759789,-0.016452176317015347,0.7492974812960623,0.03367480897066886,0.10629700777823464,0.1286717465049342
all,aggregate,3,1867776,0.059294783431432366,0.020601880501525883,-0.010772964101309863,0.7586254246996696,0.03293917471902412,0.11174305698327851,0.12824771278782895
all,aggregate,4,1867776,0.05850851256536322,0.021393493522032115,-0.011473456683909032,0.7635350060047389,0.031203955934758772,0.1092968321683114,0.12341951069078948
all,aggregate,5,1867776,0.05675742017787413,0.020172612193401357,-0.01385209793059892,0.7799787821649923,0.027426201000548246,0.10295827765213816,0.11892057719983552
all,aggregate,6,1867776,0.050248555108128035,0.018904462316847667,-0.002856209888726011,0.7890942072903127,0.027015552186129384,0.1139745879591557,0.11519582648026316
all,aggregate,7,1867776,0.04797552155608637,0.0183471839245348,-0.00782567655358018,0.8066717210007581,0.02307289525082237,0.10543234306469298,0.11018612510279606
all,aggregate,8,1867776,0.044194119538098646,0.01813727248046035,0.0033500436758475234,0.7912926623365436,0.025943153782894735,0.11683949253015351,0.10582532380756579
all,aggregate,9,1867776,0.04807677877717825,0.019343915629573428,-0.000599301049661461,0.780814535024458,0.025693659196820175,0.10650313527960527,0.10224994860197369
all,aggregate,10,1867776,0.04490472146303588,0.018282888345012734,-0.0004944496702494988,0.7950172912696732,0.02332506681743421,0.1051989103618421,0.09905684621710527
all,aggregate,11,1867776,0.05207350880824624,0.020829924126731087,0.010591697550717795,0.7468783438516804,0.03102941680372807,0.11793866073876097,0.09620586194490131
seed123,phase10_margin_aware_boundary_band_seed123_40e,0,622592,0.08624413120536671,0.031203433047663588,-0.028304399592141084,0.635154618960287,0.05080534282483553,0.09302882144325658,0.13466925370065788
seed123,phase10_margin_aware_boundary_band_seed123_40e,1,622592,0.07890425009550847,0.027887872753702164,-0.024751625837139083,0.6862090672621239,0.042433889288651314,0.09718724300986842,0.1308384945518092
seed123,phase10_margin_aware_boundary_band_seed123_40e,2,622592,0.0721072176202984,0.02559645986180353,-0.022359454509911114,0.722967172480503,0.03680098684210526,0.10020687705592106,0.1286717465049342
seed123,phase10_margin_aware_boundary_band_seed123_40e,3,622592,0.06498855238958107,0.02284941521255045,-0.01860367039778708,0.7380206000895656,0.03476594623766447,0.10239611173930921,0.12824771278782895
seed123,phase10_margin_aware_boundary_band_seed123_40e,4,622592,0.06284188465021749,0.022153430707306184,-0.01801040935315474,0.7589701142505988,0.030869333367598683,0.10185643246299342,0.12341951069078948
seed123,phase10_margin_aware_boundary_band_seed123_40e,5,622592,0.0570397459144158,0.02002859783038963,-0.014176652916866954,0.7835515075215498,0.027062667043585526,0.10407779091282894,0.11892057719983552
seed123,phase10_margin_aware_boundary_band_seed123_40e,6,622592,0.05095764024359207,0.018131987731480587,-0.009528434119020643,0.7974772890660741,0.024886281866776317,0.10568076685855263,0.11519582648026316
seed123,phase10_margin_aware_boundary_band_seed123_40e,7,622592,0.04609254908385506,0.016974493577165718,-0.003550685454538628,0.8121568992330493,0.022698653371710526,0.10879195363898027,0.11018612510279606
seed123,phase10_margin_aware_boundary_band_seed123_40e,8,622592,0.044313478904328275,0.017265619946849428,0.002398952161522954,0.8118918049486636,0.02254124691611842,0.11129600123355263,0.10582532380756579
seed123,phase10_margin_aware_boundary_band_seed123_40e,9,622592,0.04654643309091794,0.019015169750344823,0.008042564766909765,0.7884438366252006,0.025840357730263157,0.11619808799342106,0.10224994860197369
seed123,phase10_margin_aware_boundary_band_seed123_40e,10,622592,0.052387949701829084,0.021543248695459982,0.013018473678800532,0.7585783838931721,0.030026084498355265,0.11966103001644737,0.09905684621710527
seed123,phase10_margin_aware_boundary_band_seed123_40e,11,622592,0.06997139480977835,0.027652685467726444,0.021156641558939464,0.6994212639982529,0.03979170949835526,0.12876972399259867,0.09620586194490131
seed202,phase10_margin_aware_boundary_band_seed202_40e,0,622592,0.06583583401812285,0.023269872941066506,-0.017868496518867228,0.7229304079377556,0.03906571237664474,0.10825709292763158,0.13466925370065788
seed202,phase10_margin_aware_boundary_band_seed202_40e,1,622592,0.059727907508520944,0.0207983322109891,-0.014856084010554344,0.7679362579765668,0.03171740080180921,0.11079487047697369,0.1308384945518092
seed202,phase10_margin_aware_boundary_band_seed202_40e,2,622592,0.052483033825236725,0.01879617727902776,-0.012096986188735176,0.7987987272228909,0.027117277446546052,0.1137647126850329,0.1286717465049342
seed202,phase10_margin_aware_boundary_band_seed202_40e,3,622592,0.04999606696362278,0.018062492929993776,-0.0016748434988155558,0.802006880733945,0.02773084138569079,0.1241406892475329,0.12824771278782895
seed202,phase10_margin_aware_boundary_band_seed202_40e,4,622592,0.05380379508489555,0.020757292060049608,-0.017288603801187203,0.7955871325258328,0.025832326788651317,0.10349474455180921,0.12341951069078948
seed202,phase10_margin_aware_boundary_band_seed202_40e,5,622592,0.04291050900620055,0.015891696565107912,-0.006067532263494935,0.8436640602227939,0.019813939144736843,0.11474448756167763,0.11892057719983552
seed202,phase10_margin_aware_boundary_band_seed202_40e,6,622592,0.045245746316914325,0.0195465335505469,0.009638446537775363,0.8068502161247886,0.026412160773026317,0.13188091077302633,0.11519582648026316
seed202,phase10_margin_aware_boundary_band_seed202_40e,7,622592,0.0488844211111058,0.020283604807341895,-0.017050508723895547,0.8321030601278353,0.019070273951480265,0.09791002775493421,0.11018612510279606
seed202,phase10_margin_aware_boundary_band_seed202_40e,8,622592,0.033460381597788996,0.014112954630807467,-0.003929146189605907,0.8729602576962744,0.014442845394736841,0.10710706208881579,0.10582532380756579
seed202,phase10_margin_aware_boundary_band_seed202_40e,9,622592,0.03732229742656892,0.01738571525204774,0.007987540224890566,0.8095847646912838,0.023415013363486843,0.12027138157894737,0.10224994860197369
seed202,phase10_margin_aware_boundary_band_seed202_40e,10,622592,0.03882574985701491,0.017041816998974234,-0.012292504440761262,0.8527506839998145,0.015300549958881578,0.09346088610197369,0.09905684621710527
seed202,phase10_margin_aware_boundary_band_seed202_40e,11,622592,0.034058484807036445,0.01620073518465758,0.005733171642956754,0.8121489349869306,0.021701210423519735,0.11313990542763158,0.09620586194490131
seed42,phase10_margin_aware_boundary_band_seed42_40e,0,622592,0.07814622146988134,0.027376529607429433,-0.02198046403616184,0.6504794520547945,0.049178274054276314,0.09755666632401316,0.13466925370065788
seed42,phase10_margin_aware_boundary_band_seed42_40e,1,622592,0.07137119697953237,0.02436342811714814,-0.0180862626205171,0.6954040498734415,0.041749653063322366,0.10154322574013158,0.1308384945518092
seed42,phase10_margin_aware_boundary_band_seed42_40e,2,622592,0.06444117760081182,0.022101655421962376,-0.014900088252399754,0.7258476034509357,0.03710616262335526,0.10491943359375,0.1286717465049342
seed42,phase10_margin_aware_boundary_band_seed42_40e,3,622592,0.06184250458234226,0.020893733362033422,-0.012040378407326953,0.7341679891847411,0.036320736533717105,0.10869236996299342,0.12824771278782895
seed42,phase10_margin_aware_boundary_band_seed42_40e,4,622592,0.05853022548995627,0.021269757798740543,0.0008786431026148483,0.7390297083674026,0.036910207648026314,0.12253931949013158,0.12341951069078948
seed42,phase10_margin_aware_boundary_band_seed42_40e,5,622592,0.06759711412916179,0.024597542184706528,-0.02131210861143487,0.7102651400628344,0.035401996813322366,0.0900525544819079,0.11892057719983552
seed42,phase10_margin_aware_boundary_band_seed42_40e,6,622592,0.054137724484815776,0.019034865668515515,-0.008678642084932756,0.7613519224822183,0.029748213918585526,0.10436208624588816,0.11519582648026316
seed42,phase10_margin_aware_boundary_band_seed42_40e,7,622592,0.04889521753014306,0.017783453389096784,-0.0028758354823063647,0.7779423611652504,0.027449758429276317,0.10959504780016448,0.11018612510279606
