seed,run_name,margin_bin,lower_bound_inclusive,upper_bound_exclusive,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
all,aggregate,"[0,0.005)",0.0,0.005,241259,0.11610766475434117,0.053694579445506756,0.4548804396934415,0.4929863418235511,0.423810562908675,0.22142179151865837,0.23345864817478312,0.4611807227916886,0.44914386613556384,0.0025086684118413283,4.023313522616423e-08,0.0049999982118606595
all,aggregate,"[0.005,0.01)",0.005,0.01,257483,0.11040219249822661,0.051515978931865235,0.36369779752449677,0.4772124181187255,0.2819745499482315,0.19975299340150612,0.16394480412299064,0.3827747851314456,0.41858297440996106,0.007541250001322435,0.00500000715255737,0.009999987483024594
all,aggregate,"[0.01,0.02)",0.01,0.02,651005,0.09619717051584095,0.04426797486563844,0.23234076543190912,0.4537012810937582,0.12677577280997473,0.14650117894639827,0.08583958648551086,0.2622406893956268,0.32290228185651415,0.01533827695850879,0.010000023245811465,0.019999998807907107
all,aggregate,"[0.02,0.05)",0.02,0.05,9439361,0.03962766906874741,0.012771596817553429,0.029015099644986563,0.3995804838136993,0.007489509474400427,0.021936760337908468,0.007078339307078096,0.04004105786398041,0.05489947889481078,0.04047841263027249,0.020000022649765012,0.04999998509883881
all,aggregate,"[0.05,0.1)",0.05,0.1,10497565,0.03030964809190174,0.012819785763784891,0.004475609343690656,0.06311539841526777,0.002362605867718547,0.0021951757383736133,0.0022804336053170427,0.03486560931034959,0.03478035144340616,0.05902685840671326,0.05,0.09999981820583344
all,aggregate,"[0.1,0.2)",0.1,0.2,389248,0.1534898463288554,0.10155941592463213,0.01823516113120684,5.0363033533386495e-05,0.2223408598436077,4.624301216705031e-05,0.01818891811903979,0.9363362175271293,0.9181935424202565,0.1422315460712144,0.10000000596046447,0.19999947845935823
all,aggregate,"[0.2,5)",0.2,5.0,937391,0.1686871227319027,0.12469771414685224,0.00167486139721845,0.0,0.8981693363844394,0.0,0.00167486139721845,0.9998101112556019,0.9981352498583835,0.5870921632388126,0.20000017881393434,2.5320722579956056
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0,0.005)",0.0,0.005,79035,0.10453540038830991,0.05364869296372848,0.4566837477067122,0.4954594167747758,0.4251325240379099,0.22228126779275004,0.23440247991396218,0.46075789207313217,0.44863667995192,0.002510072492652701,1.0728836059847868e-07,0.004999551177024844
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.005,0.01)",0.005,0.01,84426,0.10240370226804438,0.052202656165529784,0.37343946177717763,0.4866940626328468,0.2921185975051383,0.20340890247080284,0.1700305593063748,0.38456162793452253,0.41793997109895054,0.007546638103870346,0.00500000715255737,0.009999942779541013
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.01,0.02)",0.01,0.02,215654,0.09769240795847577,0.04595791378347776,0.2415860591503056,0.46596709749889803,0.13299845174608635,0.15196101162046613,0.08962504752983946,0.26378365344487004,0.3261196175354967,0.015337197747837546,0.010000032186508176,0.019999998807907107
seed123,phase10_margin_aware_boundary_band_seed123_40e,"[0.02,0.05)",0.02,0.05,3101018,0.04461156383283097,0.013657887618191469,0.031898234708731134,0.42064749325063033,0.008044858170228583,0.02431846574254003,0.007579768966191103,0.0410732862563197,0.05781198303266863,0.04026026570112446,0.020000118017196658,0.04999998509883881
