seed,run_name,risk_proxy_group,risk_proxy_value,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
all,aggregate,boundary_distance_band,boundary_0px,4497702,0.08897919320625353,0.04344489740763765,0.13293966563369472,0.23382623466144162,0.07148755156289689,0.0885132007411785,0.04442646489251622,0.3344559065940785,0.3785426424427408,0.07247882411653726,4.023313522616423e-08,1.9107646465301513
all,aggregate,boundary_distance_band,far_field_gt3px,9098397,0.01590672028999443,0.008796384227862447,0.0014817994862171874,0.004515400741815836,0.001458884678565868,3.385211702676856e-05,0.001447947369190419,0.00891113016941336,0.007497034917249709,0.05418965250764609,6.973743438692948e-07,1.685175371170044
all,aggregate,boundary_distance_band,near_boundary_1_3px,8817213,0.0628368132542308,0.021679960122752164,0.00825374185697907,0.03839584392605708,0.0051134125140853024,0.0036228000843350388,0.004630941772644032,0.09536210591714185,0.09435396422883285,0.09083732475723584,1.7583370208462679e-07,2.5320722579956056
all,aggregate,boundary_distance_band,no_target_boundary_frame,0,,,,,,,,,,,,
all,aggregate,target_depth_bin,deep,1023948,0.23830447169632027,0.16558430038975872,0.020595772441569297,0.020595772441569297,0.0,0.020595772441569297,0.0,0.9794042275584307,1.0,0.5258055261641403,7.182359695462326e-07,2.5320722579956056
all,aggregate,target_depth_bin,dry_or_near_dry,19810590,0.014864582949636477,0.010240408510609587,0.01281249069310909,0.0,0.01281249069310909,0.0,0.01281249069310909,0.01281249069310909,0.0,0.04899485037303199,5.5134296420011886e-08,0.8857298612594604
all,aggregate,target_depth_bin,moderate,589557,0.11049362034763796,0.08988242762648019,0.10605759918040156,0.10605759918040156,0.0,0.10605759918040156,0.0,0.8939424008195984,1.0,0.11556875995122118,1.0728836059847868e-07,1.165811014175415
all,aggregate,target_depth_bin,shallow,989217,0.05508954358721913,0.04163187857436238,0.35052066432339923,0.35052066432339923,0.0,0.35052066432339923,0.0,0.6494793356766008,1.0,0.043277039882214055,4.023313522616423e-08,0.8609768271446228
all,aggregate,wet_dry_outcome,correct_dry,19556767,0.012917411338458223,0.00967568527304268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04930383210978046,5.5134296420011886e-08,0.21679094731807708
all,aggregate,wet_dry_outcome,correct_wet,2172365,0.15697226274844095,0.10190326144573586,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.29426595877471384,3.9935111999234163e-07,2.5320722579956056
all,aggregate,wet_dry_outcome,false_dry,430357,0.18557856481877094,0.09841227417424717,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.023443797458422205,4.023313522616423e-08,0.1208809494972229
all,aggregate,wet_dry_outcome,false_wet,253823,0.06624963133677371,0.053751677294689854,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.025188166846147313,1.7583370208462679e-07,0.8857298612594604
seed123,phase10_margin_aware_boundary_band_seed123_40e,boundary_distance_band,boundary_0px,1499234,0.09512119037129402,0.046600888528020606,0.14059979963101157,0.24742037341152093,0.07553315945948846,0.09365916194536676,0.046940637685644805,0.33182411818301877,0.3785426424427408,0.07259903079403253,1.0728836059847868e-07,1.9107646465301513
seed123,phase10_margin_aware_boundary_band_seed123_40e,boundary_distance_band,far_field_gt3px,3032799,0.01757374066060061,0.009150398939414708,0.0013779350362486931,0.004398117605664775,0.0013551215888576381,3.297284125983951e-05,0.0013449621949888535,0.008809024270978722,0.007497034917249709,0.05413902825714516,3.543496131894197e-06,1.685175371170044
