scenario_key,warning_level,phase25_warning_level,risk_score,risk_category,phase10_rmse,phase25_rmse,delta_rmse,phase25_improved_rmse,phase10_mae,phase25_mae,delta_mae,phase25_improved_mae,phase10_relative_volume_bias,phase25_relative_volume_bias,delta_relative_volume_bias,phase25_improved_relative_volume_bias,phase10_wet_area_contraction,phase25_wet_area_contraction,delta_wet_area_contraction,phase25_improved_wet_area_contraction,phase10_peak_depth_underprediction,phase25_peak_depth_underprediction,delta_peak_depth_underprediction,phase25_improved_peak_depth_underprediction,phase10_false_dry_rate,phase25_false_dry_rate,delta_false_dry_rate,phase25_improved_false_dry_rate,phase10_false_wet_rate,phase25_false_wet_rate,delta_false_wet_rate,phase25_improved_false_wet_rate,phase10_connectivity_loss_indicator,phase25_connectivity_loss_indicator,delta_connectivity_loss_indicator,phase25_improved_connectivity_loss_indicator,phase10_largest_component_ratio_change,phase25_largest_component_ratio_change,delta_largest_component_ratio_change,phase25_improved_largest_component_ratio_change
location1|r100y_p0.5_d3h|0,reliable,reliable,0.5628811465208514,reliable,0.05600982930683128,0.051986734303324074,-0.004023095003507206,True,0.022755816133930132,0.021211354885959918,-0.0015444612479702143,True,-0.024830035975233273,-0.008010395800810147,0.016819640174423126,,0.04558581414806618,0.0,-0.04558581414806618,True,0.0,0.0,0.0,False,0.13457126663247956,0.08210304715122399,-0.052468219481255574,True,0.02066346196030259,0.023878613912269597,0.003215151951967008,False,0.0,1.0,1.0,False,-0.022093352213257478,-0.1055280483998528,-0.08343469618659533,
location1|r100y_p0.5_d3h|12,reliable,reliable,0.20431111653645834,reliable,0.05182118711911939,0.04987065941611978,-0.0019505277029996104,True,0.01725741165830617,0.01701708330910503,-0.00024032834920114168,True,0.1586593075181936,0.20146224602729773,0.04280293850910413,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.042282970649732826,0.00882831255324092,-0.03345465809649191,True,0.027959621037345856,0.035911278706186836,0.00795165766884098,False,0.0,0.0,0.0,False,0.003538453400069863,-0.017575782026801823,-0.021114235426871686,
location1|r100y_p0.5_d3h|6,reliable,reliable,0.10639864603678383,reliable,0.04669135538767235,0.042392176956708744,-0.004299178430963606,True,0.01696211633927334,0.0160466881833745,-0.0009154281558988418,True,0.004112149521681626,0.029421455541753717,0.025309306020072093,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.07422870984191739,0.028716216216216218,-0.04551249362570117,True,0.01727268325748039,0.024281010942190373,0.007008327684709981,False,0.0,0.0,0.0,False,0.027742184420383842,-0.007901752886902424,-0.035643937307286266,
location1|r200y_p0.5_d3h|0,reliable,reliable,0.8703751447502213,reliable,0.05813941516379614,0.05405271904837244,-0.004086696115423706,True,0.023920884441362086,0.02218118933049952,-0.001739695110862565,True,-0.10400428564160545,-0.0892171468482574,0.014787138793348045,,0.09509951670737411,0.03175180585147846,-0.06334771085589566,True,0.0,0.0,0.0,False,0.14932702801018552,0.09135789637790365,-0.05796913163228187,True,0.013198669381869695,0.014507785127939186,0.0013091157460694905,False,0.0,1.0,1.0,False,-0.021240133073079703,-0.1099477540900135,-0.0887076210169338,
location1|r200y_p0.5_d3h|12,reliable,reliable,0.19036871592203775,reliable,0.05156404057938049,0.04944488124138613,-0.002119159337994364,True,0.01761421140735586,0.017187064982494848,-0.00042714642486101073,True,0.08517772888620406,0.12912603015260268,0.04394830126639862,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.05068457571147638,0.014248079848614151,-0.036436495862862225,True,0.024555426537071857,0.031970387310868396,0.007414960773796539,False,0.0,0.0,0.0,False,0.002500434508917293,-0.01842151600810249,-0.020921950517019783,
location1|r200y_p0.5_d3h|6,reliable,reliable,0.17221854177334223,reliable,0.04939933608692633,0.04539738880821647,-0.0040019472787098595,True,0.018286436110490353,0.01730670499277447,-0.0009797311177158832,True,-0.04997197681522745,-0.021412825255219637,0.028559151560007812,,0.01407069065939119,0.0,-0.01407069065939119,True,0.0,0.0,0.0,False,0.08868520278348303,0.04052604150700469,-0.048159161276478346,True,0.014842639965363108,0.020513821217535536,0.005671181252172428,False,0.0,0.0,0.0,False,0.02176365601132746,-0.01003815112312556,-0.03180180713445302,
location1|r300y_p0.6_d3h|0,reliable,reliable,2.0874659744909683,reliable,0.06904457112900958,0.06430366028134231,-0.004740910847667271,True,0.0289955277001816,0.027310596939957094,-0.001684930760224506,True,-0.18201479430023332,-0.1467477242093765,0.035267070090856806,,0.13878759697511073,0.06380166907319938,-0.07498592790191135,True,0.0,0.0,0.0,False,0.19779251609113824,0.1356794987885759,-0.06211301730256233,True,0.015480233969193628,0.018857506083584274,0.003377272114390647,False,1.0,1.0,0.0,False,-0.08809218446506484,-0.09700848902556009,-0.008916304560495247,
location1|r300y_p0.6_d3h|12,reliable,reliable,0.621095085144043,reliable,0.05210371469701231,0.048506344963717335,-0.0035973697332949764,True,0.017613914642369544,0.016868488527104226,-0.0007454261152653185,True,0.020098958233401788,0.051204721865541626,0.03110576363213984,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.06304301758847214,0.028219255491982766,-0.03482376209648937,True,0.022032871047096152,0.027974853530131794,0.005941982483035641,False,0.0,0.0,0.0,False,-0.017174418234488897,-0.014315971600739774,0.0028584466337491232,
location1|r300y_p0.6_d3h|6,reliable,reliable,0.9651871969651323,reliable,0.05629995221597095,0.05237152172022917,-0.003928430495741778,True,0.021005234823885856,0.01958120269858121,-0.0014240321253046473,True,-0.09273790335954021,-0.0642582547843038,0.02847964857523641,,0.0664626147791867,0.0,-0.0664626147791867,True,0.0,0.0,0.0,False,0.1175047369188165,0.06004955545838799,-0.0574551814604285,True,0.01078846355273778,0.015594289692735193,0.004805826139997412,False,0.0,0.0,0.0,False,0.03262401272583765,0.014984700142803342,-0.017639312583034306,
location1|r300y_p0.8_d3h|0,reliable,reliable,1.9011268845389218,reliable,0.0661039605409256,0.06426307772852746,-0.001840882812398137,True,0.02694225400754052,0.026477914488432095,-0.000464339519108424,True,-0.19000420310977717,-0.14264040854287258,0.04736379456690459,,0.11513656568771037,0.030961741051928365,-0.084174824635782,True,0.0,0.0,0.0,False,0.2004162491328143,0.13892957167450345,-0.06148667745831085,True,0.021047758562740583,0.026647388213508868,0.005599629650768285,False,1.0,1.0,0.0,False,-0.07069102736292465,-0.1634338164102252,-0.09274278904730054,
