scenario_key,warning_level,phase25_warning_level,risk_score,risk_category,phase10_rmse,phase25_rmse,delta_rmse,phase25_improved_rmse,phase10_mae,phase25_mae,delta_mae,phase25_improved_mae,phase10_relative_volume_bias,phase25_relative_volume_bias,delta_relative_volume_bias,phase25_improved_relative_volume_bias,phase10_wet_area_contraction,phase25_wet_area_contraction,delta_wet_area_contraction,phase25_improved_wet_area_contraction,phase10_peak_depth_underprediction,phase25_peak_depth_underprediction,delta_peak_depth_underprediction,phase25_improved_peak_depth_underprediction,phase10_false_dry_rate,phase25_false_dry_rate,delta_false_dry_rate,phase25_improved_false_dry_rate,phase10_false_wet_rate,phase25_false_wet_rate,delta_false_wet_rate,phase25_improved_false_wet_rate,phase10_connectivity_loss_indicator,phase25_connectivity_loss_indicator,delta_connectivity_loss_indicator,phase25_improved_connectivity_loss_indicator,phase10_largest_component_ratio_change,phase25_largest_component_ratio_change,delta_largest_component_ratio_change,phase25_improved_largest_component_ratio_change
location1|r100y_p0.5_d3h|0,reliable,reliable,0.19642134443285145,reliable,0.0422752124338754,0.04025307526694895,-0.002022137166926452,True,0.017392354992876367,0.016887809115688223,-0.0005045458771881436,True,-0.027044382982097166,0.001128209242684618,0.028172592224781783,,0.012172411001052603,0.0,-0.012172411001052603,True,0.0,0.0,0.0,False,0.09095570969744407,0.061536800626163936,-0.029418909071280135,True,0.018294402627274265,0.022618876012960885,0.00432447338568662,False,1.0,0.0,-1.0,True,-0.1212753811195571,0.020029249341227906,0.141304630460785,
location1|r100y_p0.5_d3h|12,reliable,reliable,0.14922688802083334,reliable,0.0372337994535353,0.03973546243862744,0.0025016629850921415,False,0.014252218301437214,0.015386142452814814,0.0011339241513775994,False,0.18762797718818056,0.2428451165880257,0.055217139399845155,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.016495005033686984,0.004375435607527298,-0.012119569426159686,True,0.026981766228291036,0.0350973756016442,0.008115609373353164,False,0.0,0.0,0.0,False,-0.007878751428399555,-0.019845108310280857,-0.011966356881881302,
location1|r100y_p0.5_d3h|6,reliable,reliable,0.1870829239381681,reliable,0.03600929261968064,0.033014405399069705,-0.002994887220610934,True,0.014114644364379087,0.012931604728358253,-0.0011830396360208335,True,-0.04976345427589654,-0.016418364324752018,0.03334508995114452,,0.017911779704232536,0.0,-0.017911779704232536,True,0.0,0.0,0.0,False,0.08050739418663946,0.045193778684344724,-0.03531361550229474,True,0.011886317420354411,0.01598963881088409,0.004103321390529678,False,0.0,0.0,0.0,False,0.007718769984419893,0.0012512557657279877,-0.0064675142186919055,
location1|r200y_p0.5_d3h|0,reliable,reliable,0.4845211996725709,reliable,0.045008715259499746,0.04285771749891833,-0.002150997760581419,True,0.018106546439760663,0.017431530354877323,-0.0006750160848833404,True,-0.10546693632735861,-0.07598245813673978,0.029484478190618835,,0.0648027854284675,0.014550745725718442,-0.05025203970274906,True,0.0,0.0,0.0,False,0.10754560099776542,0.07264979473055137,-0.034895806267214044,True,0.01040335943132518,0.014140979749813435,0.0037376203184882554,False,1.0,1.0,0.0,False,-0.1246172571267628,-0.13017023234414538,-0.005552975217382572,
location1|r200y_p0.5_d3h|12,reliable,reliable,0.12521368662516275,reliable,0.03674957808091455,0.037520669514548695,0.000771091433634144,False,0.01397295261428825,0.014669443818388776,0.0006964912041005251,False,0.12552666462091294,0.1727300163580952,0.047203351737182264,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.020741345404623204,0.004675151200326518,-0.016066194204296686,True,0.023264586783922857,0.030644182085030384,0.007379595301107527,False,0.0,0.0,0.0,False,-0.006055278148955623,-0.017513555075364895,-0.011458276926409272,
location1|r200y_p0.5_d3h|6,reliable,reliable,0.27564392547906535,reliable,0.039720135920163324,0.0362543429772387,-0.0034657929429246226,True,0.015543395091469491,0.014172733351568448,-0.0013706617399010437,True,-0.09227438464140363,-0.06348953119439783,0.028784853447005793,,0.04276386376873793,0.0,-0.04276386376873793,True,0.0,0.0,0.0,False,0.08853192728610404,0.053646424082646145,-0.034885503203457895,True,0.00910438022526176,0.012507088976565215,0.003402708751303456,False,0.0,0.0,0.0,False,0.0031350095023835456,-0.004458485903038767,-0.0075934954054223125,
location1|r300y_p0.6_d3h|0,reliable,reliable,1.5379917599613981,reliable,0.05478690803576916,0.05137583434094871,-0.0034110736948204518,True,0.023303731801379363,0.02141227388662569,-0.0018914579147536748,True,-0.12625333441266245,-0.10774797163034397,0.018505362782318485,,0.08898460634835173,0.046180954944812905,-0.042803651403538825,True,0.0,0.0,0.0,False,0.14659455226254864,0.10680110618927584,-0.0397934460732728,True,0.015114255812310991,0.01590399815084721,0.0007897423385362177,False,1.0,1.0,0.0,False,-0.18566547480984874,-0.1907334370787811,-0.005067962268932358,
location1|r300y_p0.6_d3h|12,reliable,reliable,0.5772514979044597,reliable,0.03521795312630318,0.033381969941032714,-0.001835983185270465,True,0.013260280348772864,0.012620318705042826,-0.0006399616437300377,True,0.022759860462631686,0.03583758261823534,0.013077722155603651,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.03786112877021968,0.016175743448470722,-0.02168538532174896,True,0.015502632298239985,0.01808739467836049,0.0025847623801205036,False,0.0,0.0,0.0,False,-0.002656738371024092,-0.005866414450105439,-0.0032096760790813472,
location1|r300y_p0.6_d3h|6,reliable,reliable,0.6807047604306502,reliable,0.0412474554891622,0.03734405627633197,-0.0039033992128302275,True,0.016092805370757215,0.014912176264565419,-0.0011806291061917957,True,-0.0479942611070794,-0.01688610747353726,0.03110815363354214,,0.016586503425156683,0.0,-0.016586503425156683,True,0.0,0.0,0.0,False,0.07007724821454599,0.03734149540883253,-0.032735752805713454,True,0.011306014060122117,0.015680548110632582,0.004374534050510465,False,0.0,0.0,0.0,False,0.007767203484413232,-0.0012763758499242939,-0.009043579334337526,
location1|r300y_p0.8_d3h|0,reliable,reliable,1.3014636515269975,reliable,0.053597542524492454,0.04839087286598242,-0.005206669658510035,True,0.022557481164740798,0.020464661292504224,-0.002092819872236574,True,-0.09987898806307027,-0.06232484556644488,0.03755414249662539,,0.048793648346565945,0.0,-0.048793648346565945,True,0.0,0.0,0.0,False,0.14617538991238213,0.1016470104576171,-0.044528379454765024,True,0.02403465048291257,0.027858633132304727,0.003823982649392158,False,1.0,0.0,-1.0,True,-0.16690812448301734,-0.04009817543549127,0.12680994904752607,
location1|r300y_p0.8_d3h|12,reliable,reliable,0.5899547576904297,reliable,0.03893938527729689,0.03686847180841163,-0.0020709134688852576,True,0.014480276194445087,0.014359224414875665,-0.00012105177956942166,True,0.05277953212727071,0.0844906682003072,0.031711136073036494,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.03816457839485269,0.016796478157805623,-0.021368100237047067,True,0.021696453153616874,0.027107099677994708,0.005410646524377834,False,0.0,0.0,0.0,False,-0.0123373253404514,-0.041575283307026534,-0.029237957966575134,
location1|r300y_p0.8_d3h|6,reliable,reliable,1.0019370992060357,reliable,0.05476989157873864,0.052886007747263444,-0.0018838838314751971,True,0.022634099747567308,0.021689691724334288,-0.0009444080232330204,True,-0.06206144877452976,-0.027081082335086312,0.034980366439443446,,0.008798712112801154,0.0,-0.008798712112801154,True,0.0,0.0,0.0,False,0.09831242367047852,0.058204729654713,-0.04010769401576551,True,0.020083447502802342,0.026342010212977954,0.0062585627101756115,False,1.0,1.0,0.0,False,-0.1234347829370741,-0.14845101105602304,-0.025016228118948935,
location2|r100y_p0.5_d3h|0,caution,caution,4.250443177854044,caution,0.07240251836987985,0.06895585323653139,-0.003446665133348459,True,0.0139251474152089,0.013331824528022273,-0.0005933228871866283,True,-0.34982431809089315,-0.25355838481506826,0.09626593327582489,,0.2910290607889934,0.13919696756984418,-0.1518320932191492,True,1.3074326515197754,1.246873378753662,-0.06055927276611328,True,0.34009546539379476,0.22069352800786185,-0.11940193738593291,True,0.003833035391145085,0.006366457924348274,0.002533422533203189,False,1.0,1.0,0.0,False,-0.34814533347808785,-0.33694019710211265,0.0112051363759752,
location2|r100y_p0.5_d3h|12,reliable,reliable,0.7779875505990581,reliable,0.022738359856269187,0.020147755024712614,-0.0025906048315565734,True,0.005424767891845687,0.005592788557558177,0.00016802066571248997,False,0.06526441864659376,0.258958328137906,0.1936939094913122,,0.010543756589847868,0.0,-0.010543756589847868,True,0.0,0.0,0.0,False,0.14972134357583974,0.02786564241602651,-0.12185570115981323,True,0.004863951486821534,0.008038153593481041,0.0031742021066595077,False,0.0,0.0,0.0,False,0.06138468186314597,0.05281935836272303,-0.008565323500422939,
location2|r100y_p0.5_d3h|6,reliable,reliable,1.4299283901843416,reliable,0.03262701989390328,0.02880299478286346,-0.003824025111039818,True,0.007199646446114659,0.006507547941168063,-0.0006920985049465962,True,-0.12642412551854684,-0.004757206164609501,0.12166691935393734,,0.1332840080329775,0.0,-0.1332840080329775,True,0.4169975519180298,0.42916762828826904,0.012170076370239258,False,0.2068491702779833,0.05506817461156326,-0.15178099566642003,True,0.0037190016404217005,0.008415844229402555,0.004696842588980854,False,0.0,0.0,0.0,False,-0.0349816626035418,-0.01931475536634525,0.015666907237196548,
location2|r200y_p0.5_d3h|0,high-risk,high-risk,5.020210754489117,high-risk,0.0797045544135748,0.0763714545821207,-0.003333099831454092,True,0.015996327639560964,0.015313738819535405,-0.0006825888200255592,True,-0.4471002326041059,-0.37154989369430436,0.07555033890980156,,0.3806189884185042,0.25917686318131256,-0.12144212523719167,True,1.3862115144729614,1.341029167175293,-0.04518234729766846,True,0.40227703984819735,0.2943139435974612,-0.10796309625073613,True,0.0018254515372949124,0.0029615331586929547,0.0011360816213980423,False,1.0,1.0,0.0,False,-0.3400052328623757,-0.3318336057658591,0.008171627096516643,
location2|r200y_p0.5_d3h|12,reliable,reliable,0.8728281819565638,reliable,0.026786083841247785,0.021078114543547032,-0.005707969297700753,True,0.005938948467404573,0.0057055741880809524,-0.0002333742793236204,True,-0.08513832251030452,0.06968754618578064,0.15482586869608517,,0.09188973232121454,0.0,-0.09188973232121454,True,0.0,0.0,0.0,False,0.16020775069916102,0.027566919696364364,-0.13264083100279667,True,0.0027128646899243253,0.0048704646772325605,0.0021575999873082352,False,0.0,0.0,0.0,False,0.031088833886016604,0.01860843469977827,-0.012480399186238333,
location2|r200y_p0.5_d3h|6,reliable,reliable,1.8378865446166925,reliable,0.03966904282585057,0.03372762450745754,-0.005941418318393031,True,0.008681459002483608,0.00746007739888166,-0.0012213816036019476,True,-0.22654418583993893,-0.12988322978729305,0.09666095605264588,,0.18568404848951317,0.0,-0.18568404848951317,True,0.505344033241272,0.5399655103683472,0.034621477127075195,False,0.21945353088320185,0.06397921878006542,-0.15547431210313645,True,0.0018849280934838412,0.005821259411215054,0.003936331317731212,False,0.0,0.0,0.0,False,-0.031077310520565338,-0.0056290282377238765,0.02544828228284146,
location2|r300y_p0.6_d3h|0,high-risk,high-risk,6.15901133986023,high-risk,0.08932868113352693,0.08282091736958691,-0.006507763763940022,True,0.018518035638417734,0.016742861357887644,-0.0017751742805300896,True,-0.38705499357294165,-0.26560481265525626,0.12145018091768539,,0.23981119042136773,0.0135275155422519,-0.22628367487911583,True,1.4670686721801758,1.3519699573516846,-0.11509871482849121,True,0.3060672346304398,0.15634354133087727,-0.1497236932995625,True,0.006421700997567453,0.013842085295364771,0.007420384297797318,False,1.0,0.0,-1.0,True,-0.3755055583450622,-0.004254629564391155,0.37125092878067106,
location2|r300y_p0.6_d3h|12,caution,caution,2.5,caution,0.028516471151646253,0.023273070835664655,-0.005243400315981597,True,0.006948985456303856,0.006819893901187905,-0.00012909155511595105,True,0.04177909608299342,0.17755607048282487,0.13577697439983144,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.09966011167759165,0.007283321194464676,-0.09237679048312697,True,0.007586133673090195,0.012916069437808568,0.005329935764718373,False,0.0,0.0,0.0,False,0.023993198125337012,0.023402599230746945,-0.0005905988945900664,
location2|r300y_p0.6_d3h|18,caution,caution,2.5853568800588667,caution,0.020971808097068053,0.019873273645289243,-0.0010985344517788105,True,0.005197762891554107,0.0052612271228974355,6.346423134332823e-05,False,0.09278324168106224,0.22322838908323403,0.13044514740217178,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.11920529801324503,0.012012937009086708,-0.10719236100415833,True,0.006874786313547063,0.010972306235699445,0.004097519922152382,False,0.0,0.0,0.0,False,0.0044762844693408965,-0.02526050673254973,-0.029736791201890628,
location2|r300y_p0.6_d3h|24,caution,caution,2.8927124587294206,caution,0.021021984560149063,0.01809150667535474,-0.002930477884794322,True,0.004706251125367382,0.004747716110254245,4.1464984886862774e-05,False,-0.012174793111840212,0.16451513694492353,0.17668993005676376,,0.03376120977668366,0.0,-0.03376120977668366,True,0.0,0.0,0.0,False,0.17056444522595393,0.024617548795498507,-0.14594689643045541,True,0.0040749838938618594,0.005997244933768417,0.0019222610399065579,False,0.0,0.0,0.0,False,0.002307682902973396,0.0006653502747252793,-0.0016423326282481165,
location2|r300y_p0.6_d3h|6,caution,caution,3.435624277281394,caution,0.050101442072108315,0.04581120166927499,-0.004290240402833323,True,0.011762188540059967,0.01148419623504123,-0.0002779923050187372,True,-0.05221747466976189,0.07511319599082719,0.1273306706605891,,0.0,0.0,0.0,False,0.6058920621871948,0.522512674331665,-0.08337938785552979,True,0.14123536247430052,0.03361044069008671,-0.10762492178421382,True,0.012220837984910016,0.01935595213055695,0.0071351141456469334,False,0.0,0.0,0.0,False,-0.011119347664936996,0.008706728005125952,0.019826075670062948,
location2|r300y_p0.8_d3h|0,high-risk,high-risk,7.905763672331525,high-risk,0.0908053410546847,0.08733497766762412,-0.003470363387060582,True,0.02004118453136652,0.0191790842480384,-0.000862100283328119,True,-0.4737210397144277,-0.3791235585021182,0.09459748121230949,,0.43200312116820866,0.28413777728235423,-0.14786534388585443,True,1.5439859628677368,1.4017584323883057,-0.14222753047943115,True,0.49693456693791105,0.3763237097313566,-0.12061085720655446,True,0.006520546718457905,0.009257497229467275,0.0027369505110093704,False,1.0,1.0,0.0,False,-0.4347806851639248,-0.43848427037743615,-0.003703585213511329,
location2|r300y_p0.8_d3h|12,caution,caution,2.729001013875304,caution,0.02871875596733357,0.024943885793588527,-0.0037748701737450423,True,0.006629640894643647,0.006486384646024694,-0.00014325624861895314,True,-0.10472154715792406,-0.013773891026419904,0.09094765613150416,,0.06593276515151515,0.0,-0.06593276515151515,True,0.0,0.0,0.0,False,0.13660037878787878,0.036931818181818184,-0.09966856060606061,True,0.003172831632653061,0.005548469387755102,0.0023756377551020407,False,0.0,0.0,0.0,False,0.011721991061796888,0.020325767690253682,0.008603776628456794,
location2|r300y_p0.8_d3h|6,high-risk,high-risk,5.347769967583529,high-risk,0.062172302765353314,0.05806476841007407,-0.0041075343552792465,True,0.013194369309508375,0.012798121732247503,-0.00039624757726087166,True,-0.2589954822490207,-0.17344199573820754,0.08555348651081315,,0.21572938689217758,0.07763213530655391,-0.13809725158562366,True,1.111567735671997,1.1119513511657715,0.00038361549377441406,False,0.2905708245243129,0.17158562367864694,-0.11898520084566594,True,0.004789401622443623,0.006012457855971599,0.0012230562335279757,False,1.0,1.0,0.0,False,-0.10812984683876839,-0.12036802167701946,-0.01223817483825107,
location3|r100y_p0.5_d3h|0,reliable,reliable,0.554141865981026,reliable,0.04011815626580034,0.0387429699658107,-0.0013751862999896447,True,0.016284616459082323,0.015914861171206048,-0.0003697552878762743,True,0.003430380508419498,0.022752420585594985,0.019322040077175487,,0.03455235046452556,0.0,-0.03455235046452556,True,0.0,0.0,0.0,False,0.12721389053202964,0.07265388496468214,-0.0545600055673475,True,0.015863560276167726,0.021624004432027354,0.005760444155859627,False,0.0,0.0,0.0,False,0.012648814457743685,-0.035106000718648944,-0.04775481517639263,
location3|r100y_p0.5_d3h|12,reliable,reliable,0.1360800902048747,reliable,0.03601678281618412,0.03753826848504564,0.0015214856688615247,False,0.013756072326752614,0.01435649170697497,0.0006004193802223567,False,0.14258232077853225,0.18458039241378285,0.0419980716352506,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.02565561720491298,0.005501019585526627,-0.020154597619386354,True,0.01991784458839683,0.02624187419169216,0.006324029603295332,False,0.0,1.0,1.0,False,-0.02973078747144603,-0.05482379564592593,-0.025093008174479903,
location3|r100y_p0.5_d3h|6,reliable,reliable,0.18692400261978723,reliable,0.032714270126010185,0.03129370219099158,-0.0014205679350186018,True,0.0125313648012233,0.012000352669508758,-0.0005310121317145412,True,-0.018436528663985572,0.015225864660350055,0.03366239332433563,,0.0,0.0,0.0,False,0.02818000316619873,0.014005661010742188,-0.014174342155456543,True,0.07026756689172294,0.03805117946153205,-0.03221638743019088,True,0.010201953491605548,0.015120442142584031,0.004918488650978483,False,0.0,0.0,0.0,False,0.034947354842870704,0.032195018161370215,-0.002752336681500489,
