phase24_case_key,seed,run_name,run_root,maps_path,summary_path,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,scenario_key,warning_level,risk_score,risk_category,phase23_case_role,phase23_selection_basis,prediction_key,target_key,wet_threshold,target_inundation_volume,predicted_inundation_volume,volume_bias,relative_volume_bias,target_wet_area,predicted_wet_area,wet_area_bias,wet_area_contraction,target_max_depth,predicted_max_depth,peak_depth_bias,peak_depth_underprediction,rmse,mae,mean_bias,false_dry_rate,false_wet_rate,target_wet_component_count,predicted_wet_component_count,target_largest_wet_component_area,predicted_largest_wet_component_area,target_largest_wet_component_area_ratio,predicted_largest_wet_component_area_ratio,wet_component_count_change,largest_component_ratio_change,fragmentation_indicator,connectivity_loss_indicator,temporal_volume_bias_std,temporal_peak_underprediction_max
seed123|batch0|sample0|location1|r100y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0000\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0000\summary.json,0,0,test,location1,r100y_p0.5_d3h,0,12,12,mass_preserving,location1|r100y_p0.5_d3h|0,reliable,0.5628811465208514,reliable,,,prediction,target,0.05,12705.188175789435,12389.717896312475,-315.47027947696006,-0.024830035975233273,37051,35362,-1689,0.04558581414806618,1.9651845693588257,2.4008681774139404,0.43568360805511475,0.0,0.05600982930683128,0.022755816133930132,-0.0016045648166756056,0.13457126663247956,0.02066346196030259,91,97,1793,1598,0.47122207621550594,0.44912872400224846,6,-0.022093352213257478,1,0,295.54407109724474,0.12109661102294922
seed123|batch0|sample1|location1|r100y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0000\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0000\summary.json,0,1,test,location1,r100y_p0.5_d3h,6,12,12,mass_preserving,location1|r100y_p0.5_d3h|6,reliable,0.10639864603678383,reliable,reliable,"Selected as the lowest-risk reliable-labeled case using risk score, false-dry, boundary, RMSE, and stable identity tie-breaks.",prediction,target,0.05,11008.920740269445,11054.191068425775,45.270328156329924,0.004112149521681626,31376,31901,525,0.0,1.9651845693588257,2.3631551265716553,0.3979705572128296,0.0,0.04669135538767235,0.01696211633927334,0.00023025679604252516,0.07422870984191739,0.01727268325748039,106,85,1188,1174,0.37253057384760113,0.400272758267985,-21,0.027742184420383842,0,0,228.156241864605,0.14383435249328613
seed123|batch1|sample0|location1|r100y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0001\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0001\summary.json,1,0,test,location1,r100y_p0.5_d3h,12,12,12,mass_preserving,location1|r100y_p0.5_d3h|12,reliable,0.20431111653645834,reliable,,,prediction,target,0.05,8663.101240284941,10037.582884028554,1374.481643743613,0.1586593075181936,25826,29509,3683,0.0,1.9066872596740723,2.392242193222046,0.48555493354797363,0.0,0.05182118711911939,0.01725741165830617,0.006990975157387364,0.042282970649732826,0.027959621037345856,108,99,1004,1118,0.3924941360437842,0.39603258944385406,-9,0.003538453400069863,0,0,237.18268865815864,0.2156226634979248
seed123|batch1|sample1|location1|r200y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0001\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0001\summary.json,1,1,test,location1,r200y_p0.5_d3h,0,12,12,mass_preserving,location1|r200y_p0.5_d3h|0,reliable,0.8703751447502213,reliable,,,prediction,target,0.05,13785.28121613462,12351.552890881896,-1433.7283252527232,-0.10400428564160545,38486,34826,-3660,0.09509951670737411,2.024629592895508,2.4239912033081055,0.39936161041259766,0.0,0.05813941516379614,0.023920884441362086,-0.007292319362654227,0.14932702801018552,0.013198669381869695,103,93,1819,1586,0.4812169312169312,0.4599767981438515,-10,-0.021240133073079703,0,0,299.55715349283537,0.174302339553833
seed123|batch2|sample0|location1|r200y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0002\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0002\summary.json,2,0,test,location1,r200y_p0.5_d3h,6,12,12,mass_preserving,location1|r200y_p0.5_d3h|6,reliable,0.17221854177334223,reliable,,,prediction,target,0.05,11915.712958564984,11320.261226862669,-595.4517317023146,-0.04997197681522745,32621,32162,-459,0.01407069065939119,2.024629592895508,2.359013319015503,0.3343837261199951,0.0,0.04939933608692633,0.018286436110490353,-0.0030286241236486683,0.08868520278348303,0.014842639965363108,101,82,1236,1184,0.37488626023657873,0.3966499162479062,-19,0.02176365601132746,0,0,236.22787185516057,0.19543766975402832
seed123|batch2|sample1|location1|r200y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0002\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0002\summary.json,2,1,test,location1,r200y_p0.5_d3h,12,12,12,mass_preserving,location1|r200y_p0.5_d3h|12,reliable,0.19036871592203775,reliable,,,prediction,target,0.05,9448.001348433436,10252.76064580679,804.7592973733535,0.08517772888620406,26951,29751,2800,0.0,1.9618059396743774,2.382540225982666,0.4207342863082886,0.0,0.05156404057938049,0.01761421140735586,0.004093217454901879,0.05068457571147638,0.024555426537071857,106,96,1045,1127,0.3941908713692946,0.3966913058782119,-10,0.002500434508917293,0,0,250.22717954929007,0.25743162631988525
seed123|batch3|sample0|location1|r300y_p0.6_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0003\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0003\summary.json,3,0,test,location1,r300y_p0.6_d3h,0,12,12,mass_preserving,location1|r300y_p0.6_d3h|0,reliable,2.0874659744909683,reliable,,,prediction,target,0.05,14766.098345840981,12078.44999280572,-2687.6483530352616,-0.18201479430023332,40861,35190,-5671,0.13878759697511073,2.0679421424865723,2.5091068744659424,0.4411647319793701,0.0,0.06904457112900958,0.0289955277001816,-0.01367008643104685,0.19779251609113824,0.015480233969193628,86,135,2219,1728,0.5284591569421291,0.44036697247706424,49,-0.08809218446506484,1,1,353.2654155966655,0.22810649871826172
seed123|batch3|sample1|location1|r300y_p0.6_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0003\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0003\summary.json,3,1,test,location1,r300y_p0.6_d3h,6,12,12,mass_preserving,location1|r300y_p0.6_d3h|6,reliable,0.9651871969651323,reliable,,,prediction,target,0.05,12927.535079652183,11728.662580758333,-1198.8724988938502,-0.09273790335954021,34305,32025,-2280,0.0664626147791867,2.0679421424865723,2.3786473274230957,0.31070518493652344,0.0,0.05629995221597095,0.021005234823885856,-0.006097780857817837,0.1175047369188165,0.01078846355273778,106,82,1296,1207,0.3694412770809578,0.40206528980679546,-24,0.03262401272583765,0,0,272.94629921224265,0.245957612991333
seed123|batch4|sample0|location1|r300y_p0.6_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0004\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0004\summary.json,4,0,test,location1,r300y_p0.6_d3h,12,12,12,mass_preserving,location1|r300y_p0.6_d3h|12,reliable,0.621095085144043,reliable,,,prediction,target,0.05,10315.010646687093,10522.331614851952,207.32096816485864,0.020098958233401788,28314,30237,1923,0.0,2.012298345565796,2.3591012954711914,0.3468029499053955,0.0,0.05210371469701231,0.017613914642369544,0.0010544889738202737,0.06304301758847214,0.022032871047096152,110,90,1090,1063,0.3927927927927928,0.3756183745583039,-20,-0.017174418234488897,0,0,236.53639934718302,0.2456188201904297
seed123|batch4|sample1|location1|r300y_p0.8_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0004\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0004\summary.json,4,1,test,location1,r300y_p0.8_d3h,0,12,12,mass_preserving,location1|r300y_p0.8_d3h|0,reliable,1.9011268845389218,reliable,,,prediction,target,0.05,13760.742295845585,11146.143421724439,-2614.598874121146,-0.19000420310977717,38919,34438,-4481,0.11513656568771037,2.071625232696533,2.3723866939544678,0.30076146125793457,0.0,0.0661039605409256,0.02694225400754052,-0.013298537567754863,0.2004162491328143,0.021047758562740583,81,89,2302,1570,0.526291723822588,0.4556006964596634,8,-0.07069102736292465,1,1,287.6978533633266,0.24448084831237793
