rank_type,rank,timestep,paired_step_records,ranking_value,target_volume_proxy,phase25_volume_bias,phase27_volume_bias,delta_volume_bias,phase25_absolute_relative_volume_bias,phase27_absolute_relative_volume_bias,delta_absolute_relative_volume_bias,delta_overlap_volume_difference,delta_false_dry_volume_loss,false_dry_volume_loss_decrease,delta_false_wet_volume_excess,already_wet_depth_amplification_sum
largest_delta_absolute_relative_volume_bias,1,3,38,0.09454231379609278,29174.081128527287,1290.9031414493293,-4049.0882742152244,-5339.991415664554,0.04424828791564049,0.13879060171173327,0.09454231379609278,-3339.8903988823295,182.28595957159996,-182.28595957159996,-387.0589637681842,-3358.4243984147906
largest_delta_absolute_relative_volume_bias,2,10,38,0.06876769562137722,23289.322813637467,2258.6362988800684,3860.189361356286,1601.5530624762177,0.09698162187684928,0.1657493174982265,0.06876769562137722,508.72259544953704,-27.165317822247744,27.165317822247744,107.6485608741641,513.8906301483512
largest_delta_absolute_relative_volume_bias,3,8,38,0.026952006721425337,25068.525783557165,9316.62920273496,9992.276278149617,675.6470754146576,0.3716464734773467,0.39859848019877203,0.026952006721425337,-319.3167051076889,-2.494401089847088,2.494401089847088,-128.6015065535903,-320.7649658769369
largest_delta_absolute_relative_volume_bias,4,5,38,0.019820347463287674,27830.59778598712,6466.090704418559,7017.702822647829,551.61211822927,0.23233747094265708,0.25215781840594476,0.019820347463287674,-329.7403101287782,-5.763810243457556,5.763810243457556,-68.39377357065678,-322.3201053664088
largest_delta_absolute_relative_volume_bias,5,7,38,-0.011325357244280207,26091.298949076718,690.769256495947,395.27597493034045,-295.4932815656066,0.026475081131228654,0.015149723886948447,-0.011325357244280207,-553.6549593396485,45.691257286816835,-45.691257286816835,-39.464822828769684,-571.9440381601453
largest_delta_absolute_relative_volume_bias,6,11,38,-0.013246535923913394,22501.429461706717,7827.359763014774,7529.293769310872,-298.06599370390177,0.34786055598536514,0.33461402006145174,-0.013246535923913394,-733.9631430543959,2.2799239940941334,-2.2799239940941334,-235.5438948124647,-731.3162873163819
largest_delta_absolute_relative_volume_bias,7,1,38,-0.01925622361561921,29238.194341670296,-3538.0633117291545,-2975.046103369019,563.0172083601356,0.12100826988097224,0.10175204626535303,-0.01925622361561921,333.5798378325999,-100.84778272733092,100.84778272733092,35.443231128156185,390.93573017418385
largest_delta_absolute_relative_volume_bias,8,9,38,-0.02731194313222396,24142.464756337744,-4784.841968601388,-4125.46434410457,659.3776244968176,0.19819194174634958,0.17087999861412562,-0.02731194313222396,342.08127124235034,-97.59925632551312,97.59925632551312,-1.7709963619709015,386.1540053859353
largest_delta_absolute_relative_volume_bias,9,6,38,-0.03651027118276251,27102.056417483233,-5640.50533476039,-4651.001905347548,989.5034294128418,0.20812093546974403,0.17161066428698152,-0.03651027118276251,549.8332497663796,-181.77093260362744,181.77093260362744,43.599070109426975,644.5797944441438
largest_delta_absolute_relative_volume_bias,10,0,38,-0.04365687290259704,29455.34750664296,-5334.944100008033,-4049.0157376086936,1285.9283623993397,0.18111971345117767,0.13746284054858063,-0.04365687290259704,806.6337297745049,-231.73708084598184,231.73708084598184,77.74224451929331,932.5789353847504
largest_delta_absolute_relative_volume_bias,11,4,38,-0.10927567879506922,28569.368627710224,-4264.735041787804,-1142.7978922482143,3121.93714953959,0.14927648900337684,0.04000081020830761,-0.10927567879506922,1803.9307105876505,-185.85636426880956,185.85636426880956,200.93581261485815,1875.5444803535938
largest_delta_absolute_relative_volume_bias,12,2,38,-0.11049747541896375,29023.28535250992,-3333.048847858314,126.0490880417783,3459.097935900092,0.11484050848744018,0.004343033068476434,-0.11049747541896375,1879.8754754550755,-206.63295452669263,206.63295452669263,211.394227899611,1957.2898720055819
largest_positive_delta_volume_bias,1,2,38,3459.097935900092,29023.28535250992,-3333.048847858314,126.0490880417783,3459.097935900092,0.11484050848744018,0.004343033068476434,-0.11049747541896375,1879.8754754550755,-206.63295452669263,206.63295452669263,211.394227899611,1957.2898720055819
largest_positive_delta_volume_bias,2,4,38,3121.93714953959,28569.368627710224,-4264.735041787804,-1142.7978922482143,3121.93714953959,0.14927648900337684,0.04000081020830761,-0.10927567879506922,1803.9307105876505,-185.85636426880956,185.85636426880956,200.93581261485815,1875.5444803535938
largest_positive_delta_volume_bias,3,10,38,1601.5530624762177,23289.322813637467,2258.6362988800684,3860.189361356286,1601.5530624762177,0.09698162187684928,0.1657493174982265,0.06876769562137722,508.72259544953704,-27.165317822247744,27.165317822247744,107.6485608741641,513.8906301483512
largest_positive_delta_volume_bias,4,0,38,1285.9283623993397,29455.34750664296,-5334.944100008033,-4049.0157376086936,1285.9283623993397,0.18111971345117767,0.13746284054858063,-0.04365687290259704,806.6337297745049,-231.73708084598184,231.73708084598184,77.74224451929331,932.5789353847504
largest_positive_delta_volume_bias,5,6,38,989.5034294128418,27102.056417483233,-5640.50533476039,-4651.001905347548,989.5034294128418,0.20812093546974403,0.17161066428698152,-0.03651027118276251,549.8332497663796,-181.77093260362744,181.77093260362744,43.599070109426975,644.5797944441438
