comparison,metric,phase25,phase29,delta,lower_is_better,higher_is_better,improved,phase27
phase29_minus_phase25,metrics_json_rmse,0.04474700261887751,0.044385452117574845,-0.0003615505013026682,True,False,True,
phase29_minus_phase25,metrics_json_mae,0.01793944482740603,0.017846242916819296,-9.320191058673558e-05,True,False,True,
phase29_minus_phase25,metrics_json_wet_dry_iou,0.8038777207073412,0.801640952888288,-0.0022367678190532425,False,True,False,
phase29_minus_phase25,metrics_json_rollout_stability,0.989504199278982,0.9895110600873044,6.86080832235092e-06,False,True,True,
phase29_minus_phase25,metrics_json_step_rmse_std,0.010653742564548003,0.010641243124968912,-1.2499439579091026e-05,True,False,True,
phase29_minus_phase25,aggregate_relative_volume_bias,0.0029682469613443413,0.019463952752868222,0.01649570579152388,False,False,False,
phase29_minus_phase25,aggregate_absolute_relative_volume_bias,0.0029682469613443413,0.019463952752868222,0.01649570579152388,True,False,False,
phase29_minus_phase25,mean_step_relative_volume_bias,0.03792784327929691,0.05675444004017884,0.018826596760881935,False,False,False,
phase29_minus_phase25,mean_step_absolute_relative_volume_bias,0.24017909346343827,0.23044686152902988,-0.009732231934408392,True,False,True,
phase29_minus_phase25,false_dry_rate,0.075987754358706,0.07398907758877052,-0.0019986767699354813,True,False,True,
phase29_minus_phase25,false_dry_volume_loss,6219.331115406007,5964.833121955395,-254.49799345061183,True,False,True,
phase29_minus_phase25,false_wet_rate,0.01619664028178868,0.01698924666049825,0.0007926063787095684,True,False,False,
phase29_minus_phase25,false_wet_volume_excess,7934.395590290427,8289.765043199062,355.36945290863514,True,False,False,
phase29_minus_phase25,wet_area_contraction,0.0,0.0,0.0,True,False,False,
phase29_minus_phase25,peak_depth_underprediction,0.13942117544642665,0.13459338849050956,-0.004827786955917096,True,False,True,
phase29_minus_phase25,rmse_from_maps,0.045757406947082385,0.04535330322810035,-0.0004041037189820365,True,False,True,
phase29_minus_phase25,mae_from_maps,0.017939444064194555,0.017846242383489606,-9.320168070494836e-05,True,False,True,
phase27_minus_phase25,metrics_json_rmse,0.04474700261887751,,-0.0023660212755203247,,,,0.04238098134335719
phase27_minus_phase25,metrics_json_mae,0.01793944482740603,,-0.0006546732038259506,,,,0.01728477162358008
phase27_minus_phase25,metrics_json_wet_dry_iou,0.8038777207073412,,0.008923652924989423,,,,0.8128013736323306
phase27_minus_phase25,metrics_json_rollout_stability,0.989504199278982,,0.0006180970292342103,,,,0.9901222963082162
phase27_minus_phase25,metrics_json_step_rmse_std,0.010653742564548003,,-0.0006311378735852861,,,,0.010022604690962717
phase27_minus_phase25,aggregate_relative_volume_bias,0.0029682469613443413,,0.021693398352173942,,,,0.024661645313518284
phase27_minus_phase25,aggregate_absolute_relative_volume_bias,0.0029682469613443413,,0.021693398352173942,,,,0.024661645313518284
phase27_minus_phase25,mean_step_relative_volume_bias,0.03792784327929691,,0.06023242118107812,,,,0.09816026446037503
phase27_minus_phase25,mean_step_absolute_relative_volume_bias,0.24017909346343827,,0.01709525814960486,,,,0.25727435161304313
phase27_minus_phase25,false_dry_rate,0.075987754358706,,-0.0070702902576610105,,,,0.06891746410104499
phase27_minus_phase25,false_dry_volume_loss,6219.331115406007,,-809.610759600997,,,,5409.72035580501
phase27_minus_phase25,false_wet_rate,0.01619664028178868,,-0.00034663278579790194,,,,0.01585000749599078
phase27_minus_phase25,false_wet_volume_excess,7934.395590290427,,-184.07081075012684,,,,7750.3247795403
phase27_minus_phase25,wet_area_contraction,0.0,,0.0,,,,0.0
phase27_minus_phase25,peak_depth_underprediction,0.13942117544642665,,-0.011375982771840015,,,,0.12804519267458664
phase27_minus_phase25,rmse_from_maps,0.045757406947082385,,-0.002280023134267263,,,,0.04347738381281512
phase27_minus_phase25,mae_from_maps,0.017939444064194555,,-0.0006546731407917304,,,,0.017284770923402824
