phase,seed,target_depth_bin,step_count,cell_count,predicted_volume_proxy,target_volume_proxy,predicted_volume_contribution,target_volume_contribution,mean_step_predicted_volume_contribution
phase25,42,dry_or_threshold,456,6603530,39985.043872758746,20079.774384401448,0.12400761772070013,0.06245925507019085,0.15789910791669462
phase25,42,shallow,456,329739,31148.258584052324,30022.091615971178,0.09660165324435788,0.09338538581585154,0.11359842242266095
phase25,42,moderate,456,196519,37151.989991657436,42347.69499832392,0.11522132593150675,0.13172486069313985,0.12462210556096064
phase25,42,deep,456,341316,214154.9302386269,229036.41192615032,0.6641694031034353,0.7124304984208194,0.6038803640996814
phase27,42,dry_or_threshold,456,6603530,45347.86100016534,20079.774384401448,0.13766207075068543,0.06245925507019085,0.17654644908319964
phase27,42,shallow,456,329739,31462.237573347986,30022.091615971178,0.09550961565268343,0.09338538581585154,0.10842675675935431
phase27,42,moderate,456,196519,37715.23408946395,42347.69499832392,0.11449177776176739,0.13172486069313985,0.12160310992913016
phase27,42,deep,456,341316,214889.01329941303,229036.41192615032,0.6523365358348637,0.7124304984208194,0.5934236842283137
phase29,42,dry_or_threshold,456,6603530,43074.727354303,20079.774384401448,0.13142822256002926,0.06245925507019085,0.16823844353018147
phase29,42,shallow,456,329739,31256.002440728247,30022.091615971178,0.09536730926531294,0.09338538581585154,0.11129554843068204
phase29,42,moderate,456,196519,37525.899751544,42347.69499832392,0.11449781826230379,0.13172486069313985,0.12298795844817006
phase29,42,deep,456,341316,215886.73116599023,229036.41192615032,0.6587066499123541,0.7124304984208194,0.5974780495909641
