path,split,location,channel_name,semantic_role,shape,dtype,min,max,mean,std,finite_ratio,zero_ratio,high_value_ratio_dem_ge_99,candidate_valid_domain_ratio_dem_lt_99,candidate_high_invalid_mask_count,shape_is_128x128,file_exists,load_status,q0,q1,q5,q50,q95,q99,q100
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location1\absolute_DEM.npy,train,location1,absolute_DEM,static elevation / topographic proxy,"[128, 128]",float32,-0.016762489452958107,100.0,27.55670695563083,36.76381356834965,1.0,0.0,0.18096923828125,0.81903076171875,2965,True,True,loaded,-0.016762489452958107,3.563769476413727,4.201899385452271,7.9835875034332275,100.0,100.0,100.0
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location1\impervious.npy,train,location1,impervious,static runoff / imperviousness proxy,"[128, 128]",float32,0.0,0.949999988079071,0.7079832094791527,0.2633171977444849,1.0,0.04632568359375,0.0,,,True,True,loaded,0.0,0.0,0.05000000074505806,0.800000011920929,0.949999988079071,0.949999988079071,0.949999988079071
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location1\manhole.npy,train,location1,manhole,sparse drainage / manhole proxy,"[128, 128]",float32,0.0,0.04822835698723793,0.00035339802064981995,0.0019201978915117071,1.0,0.9576416015625,0.0,,,True,True,loaded,0.0,0.0,0.0,0.0,0.0,0.0120264096185565,0.04822835698723793
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location2\absolute_DEM.npy,train,location2,absolute_DEM,static elevation / topographic proxy,"[128, 128]",float32,3.168243646621704,100.0,20.033259841191466,19.502842274918876,1.0,0.0,0.04632568359375,0.95367431640625,759,True,True,loaded,3.168243646621704,6.459174585342407,7.653598713874817,12.879705905914307,35.0,100.0,100.0
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location2\impervious.npy,train,location2,impervious,static runoff / imperviousness proxy,"[128, 128]",float32,0.0,0.949999988079071,0.7117959946165229,0.21753176459851525,1.0,0.04632568359375,0.0,,,True,True,loaded,0.0,0.0,0.05000000074505806,0.7562500238418579,0.949999988079071,0.949999988079071,0.949999988079071
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location2\manhole.npy,train,location2,manhole,sparse drainage / manhole proxy,"[128, 128]",float32,0.0,0.030066024512052536,0.0004117012025801614,0.002211675518055179,1.0,0.958251953125,0.0,,,True,True,loaded,0.0,0.0,0.0,0.0,0.0,0.0120264096185565,0.030066024512052536
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location3\absolute_DEM.npy,train,location3,absolute_DEM,static elevation / topographic proxy,"[128, 128]",float32,10.688794136047363,100.0,39.55225899780635,31.023299356987316,1.0,0.0,0.1392822265625,0.8607177734375,2282,True,True,loaded,10.688794136047363,11.302208185195923,13.12377610206604,21.520906448364258,100.0,100.0,100.0
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location3\impervious.npy,train,location3,impervious,static runoff / imperviousness proxy,"[128, 128]",float32,0.0,0.949999988079071,0.746847720034566,0.18278973993483313,1.0,0.04632568359375,0.0,,,True,True,loaded,0.0,0.0,0.699999988079071,0.778124988079071,0.949999988079071,0.949999988079071,0.949999988079071
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\train\geodata\location3\manhole.npy,train,location3,manhole,sparse drainage / manhole proxy,"[128, 128]",float32,0.0,0.04908738657832146,0.0010424478284107863,0.0027594424623338092,1.0,0.83447265625,0.0,,,True,True,loaded,0.0,0.0,0.0,0.0,0.00601320480927825,0.0120264096185565,0.04908738657832146
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location1\absolute_DEM.npy,test,location1,absolute_DEM,static elevation / topographic proxy,"[128, 128]",float32,-0.016762489452958107,100.0,27.55670695563083,36.76381356834965,1.0,0.0,0.18096923828125,0.81903076171875,2965,True,True,loaded,-0.016762489452958107,3.563769476413727,4.201899385452271,7.9835875034332275,100.0,100.0,100.0
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location1\impervious.npy,test,location1,impervious,static runoff / imperviousness proxy,"[128, 128]",float32,0.0,0.949999988079071,0.7079832094791527,0.2633171977444849,1.0,0.04632568359375,0.0,,,True,True,loaded,0.0,0.0,0.05000000074505806,0.800000011920929,0.949999988079071,0.949999988079071,0.949999988079071
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location1\manhole.npy,test,location1,manhole,sparse drainage / manhole proxy,"[128, 128]",float32,0.0,0.04822835698723793,0.00035339802064981995,0.0019201978915117071,1.0,0.9576416015625,0.0,,,True,True,loaded,0.0,0.0,0.0,0.0,0.0,0.0120264096185565,0.04822835698723793
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location2\absolute_DEM.npy,test,location2,absolute_DEM,static elevation / topographic proxy,"[128, 128]",float32,3.168243646621704,100.0,20.033259841191466,19.502842274918876,1.0,0.0,0.04632568359375,0.95367431640625,759,True,True,loaded,3.168243646621704,6.459174585342407,7.653598713874817,12.879705905914307,35.0,100.0,100.0
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location2\impervious.npy,test,location2,impervious,static runoff / imperviousness proxy,"[128, 128]",float32,0.0,0.949999988079071,0.7117959946165229,0.21753176459851525,1.0,0.04632568359375,0.0,,,True,True,loaded,0.0,0.0,0.05000000074505806,0.7562500238418579,0.949999988079071,0.949999988079071,0.949999988079071
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location2\manhole.npy,test,location2,manhole,sparse drainage / manhole proxy,"[128, 128]",float32,0.0,0.030066024512052536,0.0004117012025801614,0.002211675518055179,1.0,0.958251953125,0.0,,,True,True,loaded,0.0,0.0,0.0,0.0,0.0,0.0120264096185565,0.030066024512052536
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location3\absolute_DEM.npy,test,location3,absolute_DEM,static elevation / topographic proxy,"[128, 128]",float32,10.688794136047363,100.0,39.55225899780635,31.023299356987316,1.0,0.0,0.1392822265625,0.8607177734375,2282,True,True,loaded,10.688794136047363,11.302208185195923,13.12377610206604,21.520906448364258,100.0,100.0,100.0
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location3\impervious.npy,test,location3,impervious,static runoff / imperviousness proxy,"[128, 128]",float32,0.0,0.949999988079071,0.746847720034566,0.18278973993483313,1.0,0.04632568359375,0.0,,,True,True,loaded,0.0,0.0,0.699999988079071,0.778124988079071,0.949999988079071,0.949999988079071,0.949999988079071
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location3\manhole.npy,test,location3,manhole,sparse drainage / manhole proxy,"[128, 128]",float32,0.0,0.04908738657832146,0.0010424478284107863,0.0027594424623338092,1.0,0.83447265625,0.0,,,True,True,loaded,0.0,0.0,0.0,0.0,0.00601320480927825,0.0120264096185565,0.04908738657832146
