threshold_id,metric_group,metric_name,region,baseline_reference,acceptance_rule,numeric_threshold,threshold_type,required_for_pilot_acceptance,rationale
AT01,manhole_nonzero_target,false_dry_rate,manhole_nonzero_valid,Phase 27=0.1172229713; Phase 29=0.131297982994,candidate value must be below Phase 29 and no higher than Phase 27,0.1172229713,improvement_required_and_no_worse_than_phase27,yes,The selected candidate targets the manhole-nonzero false-dry failure mode.
AT02,valid_domain_masked,rmse,valid_domain,Phase 27=0.0460826953285,candidate value must be <= Phase 27 plus 2 percent tolerance,0.0470043492351,small_tolerance_no_worse_than_phase27,yes,Depth-error regressions cannot be traded for a single proxy improvement.
AT03,valid_domain_masked,mae,valid_domain,Phase 27=0.0183692600946,candidate value must be <= Phase 27 plus 2 percent tolerance,0.0187366452965,small_tolerance_no_worse_than_phase27,yes,Depth-error regressions cannot be traded for a single proxy improvement.
AT04,valid_domain_masked,false_dry_rate,valid_domain,Phase 27=0.068917464101,candidate value must be <= Phase 27,0.068917464101,no_worse_than_phase27,yes,Phase 29 worsened this metric; a future pilot must not repeat that pattern.
AT05,valid_domain_masked,false_wet_rate,valid_domain,Phase 27=0.0181922750833,candidate value must be <= Phase 27 plus 0.0005 absolute tolerance,0.0186922750833,absolute_tolerance_no_worse_than_phase27,yes,Conservative pre-pilot tolerance for region-specific masked proxy guardrails.
AT06,guardrail_masked,false_wet_rate,high_impervious_valid,Phase 27=0.0222046722562,candidate value must be <= Phase 27 plus 0.0005 absolute tolerance,0.0227046722562,absolute_tolerance_no_worse_than_phase27,yes,Conservative pre-pilot tolerance for region-specific masked proxy guardrails.
AT07,guardrail_masked,false_dry_rate,boundary_ring,Phase 27=0.086764984526,candidate value must be <= Phase 27 plus 0.001 absolute tolerance,0.087764984526,absolute_tolerance_no_worse_than_phase27,yes,Conservative pre-pilot tolerance for region-specific masked proxy guardrails.
AT08,standard,rmse,all_evaluated_cells,Phase 27=0.0423809813434,candidate value must be <= Phase 27 plus 2 percent tolerance,0.0432286009702,small_tolerance_no_worse_than_phase27,yes,Standard test metrics remain required global quality guardrails.
AT09,standard,mae,all_evaluated_cells,Phase 27=0.0172847716236,candidate value must be <= Phase 27 plus 2 percent tolerance,0.0176304670561,small_tolerance_no_worse_than_phase27,yes,Standard test metrics remain required global quality guardrails.
AT10,standard,wet_dry_iou,all_evaluated_cells,Phase 27=0.812801373632,candidate value must be >= Phase 27 minus 0.005 absolute tolerance,0.807801373632,minimum_no_material_decline,yes,Wet/dry classification quality cannot be sacrificed for proxy gains.
AT11,standard,rollout_stability,all_evaluated_cells,Phase 27=0.990122296308,candidate value must be >= Phase 27 minus 0.001 absolute tolerance,0.989122296308,minimum_no_material_decline,yes,Temporal rollout behavior must not degrade under a future pilot.
AT12,standard,step_rmse_std,all_evaluated_cells,Phase 27=0.010022604691,candidate value must be <= Phase 27 plus 5 percent tolerance,0.0105237349255,small_tolerance_no_worse_than_phase27,yes,Step-wise error variability must remain bounded.
AT13,valid_domain_masked,absolute_relative_volume_bias_proxy,valid_domain,Phase 29=0.0115344360041,candidate value may improve this proxy only if all required error guardrails pass,0.0115344360041,conditional_proxy_improvement_not_sufficient,no,Volume-bias proxy improvement alone cannot authorize pilot acceptance.
AT14,level_boundary,claim_scope,all_outputs,Phase 31/32/33 Level 4+ boundary statements,"all claims must remain Level 4+ proxy diagnostics with no Level 5, SWE/PINN, strict conservation, full mass conservation, or hydrodynamic closure claim",,mandatory_claim_boundary,yes,A future pilot remains proxy-scoped and cannot rely on unavailable Level 5 variables.
