metric_group,metric_name,region,phase25_seed42,phase27_seed42,phase29_seed42,preferred_direction,reference_baseline,notes
standard,rmse,all_evaluated_cells,0.0447470026189,0.0423809813434,0.0443854521176,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,mae,all_evaluated_cells,0.0179394448274,0.0172847716236,0.0178462429168,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,wet_dry_iou,all_evaluated_cells,0.803877720707,0.812801373632,0.801640952888,higher_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,rollout_stability,all_evaluated_cells,0.989504199279,0.990122296308,0.989511060087,higher_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,step_rmse_std,all_evaluated_cells,0.0106537425645,0.010022604691,0.010641243125,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Standard evaluation_test metric from fixed seed42 baseline runs.
valid_domain_masked,rmse,valid_domain,0.0485218595133,0.0460826953285,0.048098430567,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,mae,valid_domain,0.0191194754249,0.0183692600946,0.0190492177388,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,false_dry_rate,valid_domain,0.0759877543587,0.068917464101,0.0739890775888,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,false_wet_rate,valid_domain,0.0185593790698,0.0181922750833,0.0194308140094,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,false_dry_volume_loss_proxy,valid_domain,4241.30893057,3575.36233313,4027.37928723,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,false_wet_volume_excess_proxy,valid_domain,5436.24205765,5263.66506363,5690.2698406,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,relative_volume_bias_proxy,valid_domain,-0.00347947154694,0.0169359188921,0.0115344360041,lower_is_better,Phase 27 and Phase 29 signed proxy values; absolute proxy is preferred for thresholding,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,absolute_relative_volume_bias_proxy,valid_domain,0.00347947154694,0.0169359188921,0.0115344360041,lower_is_better,Phase 27/Phase 29 absolute proxy; improvement cannot override error regressions,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,peak_depth_underprediction,valid_domain,0.139421175446,0.128045192675,0.134593388491,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
manhole_nonzero_target,false_dry_rate,manhole_nonzero_valid,0.133375526265,0.1172229713,0.131297982994,lower_is_better,Phase 27 and Phase 29 seed42 masked baselines,Future candidate target region fixed by Phase 33 readiness review.
manhole_nonzero_target,false_dry_volume_loss_proxy,manhole_nonzero_valid,693.973890401,539.342488922,652.677637812,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Future candidate target region fixed by Phase 33 readiness review.
manhole_nonzero_target,peak_depth_underprediction,manhole_nonzero_valid,0.134363825123,0.134569982165,0.149429553368,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Future candidate target region fixed by Phase 33 readiness review.
manhole_nonzero_target,rmse,manhole_nonzero_valid,0.0563875824567,0.0533278165545,0.0558996232433,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Future candidate target region fixed by Phase 33 readiness review.
manhole_nonzero_target,mae,manhole_nonzero_valid,0.0208552489373,0.0200447195358,0.0209504837268,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Future candidate target region fixed by Phase 33 readiness review.
guardrail_masked,false_dry_rate,boundary_ring,0.0990810332849,0.086764984526,0.105112739216,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 32 guardrail metric fixed before any possible pilot.
guardrail_masked,false_wet_rate,boundary_ring,0.0162643498264,0.0160350437865,0.01655371221,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 32 guardrail metric fixed before any possible pilot.
guardrail_masked,false_wet_rate,high_impervious_valid,0.0229872833723,0.0222046722562,0.0239893681941,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 32 guardrail metric fixed before any possible pilot.
guardrail_masked,false_wet_volume_excess_proxy,high_impervious_valid,3456.50241796,3299.27955993,3610.9053964,lower_is_better,Phase 27 seed42 baseline with Phase 29 trade-off check,Phase 32 guardrail metric fixed before any possible pilot.
