threshold_id,metric_group,metric_name,region,observed_value,direction,numeric_threshold,status,required_for_pilot_acceptance,evidence,notes
AT01,manhole_nonzero_target,false_dry_rate,manhole_nonzero_valid,0.07574089870944663,lower_or_equal,0.1172229713,pass,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be below Phase 29 and no higher than Phase 27
AT02,valid_domain_masked,rmse,valid_domain,0.04829019611370878,lower_or_equal,0.0470043492351,fail,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be <= Phase 27 plus 2 percent tolerance
AT03,valid_domain_masked,mae,valid_domain,0.019128691368550627,lower_or_equal,0.0187366452965,fail,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be <= Phase 27 plus 2 percent tolerance
AT04,valid_domain_masked,false_dry_rate,valid_domain,0.07186822103935803,lower_or_equal,0.068917464101,fail,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be <= Phase 27
AT05,valid_domain_masked,false_wet_rate,valid_domain,0.018617591273413805,lower_or_equal,0.0186922750833,pass,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be <= Phase 27 plus 0.0005 absolute tolerance
AT06,guardrail_masked,false_wet_rate,high_impervious_valid,0.02312646181978318,lower_or_equal,0.0227046722562,fail,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be <= Phase 27 plus 0.0005 absolute tolerance
AT07,guardrail_masked,false_dry_rate,boundary_ring,0.09205456956988568,lower_or_equal,0.087764984526,fail,yes,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value must be <= Phase 27 plus 0.001 absolute tolerance
AT08,standard,rmse,all_evaluated_cells,0.04456830142359985,lower_or_equal,0.0432286009702,fail,yes,standard evaluation metrics,candidate value must be <= Phase 27 plus 2 percent tolerance
AT09,standard,mae,all_evaluated_cells,0.01795931400633172,lower_or_equal,0.0176304670561,fail,yes,standard evaluation metrics,candidate value must be <= Phase 27 plus 2 percent tolerance
AT10,standard,wet_dry_iou,all_evaluated_cells,0.8068740587485465,higher_or_equal,0.807801373632,fail,yes,standard evaluation metrics,candidate value must be >= Phase 27 minus 0.005 absolute tolerance
AT11,standard,rollout_stability,all_evaluated_cells,0.9899644569346779,higher_or_equal,0.989122296308,pass,yes,standard evaluation metrics,candidate value must be >= Phase 27 minus 0.001 absolute tolerance
AT12,standard,step_rmse_std,all_evaluated_cells,0.01018835528214511,lower_or_equal,0.0105237349255,pass,yes,standard evaluation metrics,candidate value must be <= Phase 27 plus 5 percent tolerance
AT13,valid_domain_masked,absolute_relative_volume_bias_proxy,valid_domain,0.009734633876527184,lower_or_equal,0.0115344360041,pass,no,"computed from 19 forecast map batches and static masks under E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite; location1: valid=13419, boundary_ring=1258, high_impervious_valid=8626, manhole_nonzero_valid=687; location2: valid=15625, boundary_ring=496, high_impervious_valid=7146, manhole_nonzero_valid=684; location3: valid=14102, boundary_ring=2419, high_impervious_valid=6129, manhole_nonzero_valid=2689",candidate value may improve this proxy only if all required error guardrails pass
AT14,level_boundary,claim_scope,all_outputs,Level 4+ proxy diagnostics only,claim_scope,,pass,yes,script output wording and claim scope,"No Level 5, SWE/PINN residual, strict conservation, full mass conservation, or hydrodynamic closure claim is made."
