path,file_type,field_or_key,shape_or_columns,category_mapping,spatial_alignment_evidence,temporal_alignment_evidence,notes,source,source_scope
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r100y_p0.5_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r100y_p0.5_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r200y_p0.5_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r200y_p0.5_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r300y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r300y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r300y_p0.8_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location1\r300y_p0.8_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r100y_p0.5_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r100y_p0.5_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r200y_p0.5_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r200y_p0.5_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r300y_p0.6_d3h\flood.npy,npy,flood.npy,"[48, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=48,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r300y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r300y_p0.8_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location2\r300y_p0.8_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r100y_p0.5_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r100y_p0.5_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r200y_p0.5_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r200y_p0.5_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r300y_p0.6_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r300y_p0.6_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r300y_p0.8_d3h\flood.npy,npy,flood.npy,"[36, 128, 128]",hydrodynamic_state_variables,last_two_dims_128x128,time_steps=36,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\flood\location3\r300y_p0.8_d3h\rainfall.npy,npy,rainfall.npy,[18],rainfall_source_alignment; source_sink_terms,,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location1\absolute_DEM.npy,npy,absolute_DEM.npy,"[128, 128]",DEM/static_elevation_alignment,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location1\impervious.npy,npy,impervious.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location1\manhole.npy,npy,manhole.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location2\absolute_DEM.npy,npy,absolute_DEM.npy,"[128, 128]",DEM/static_elevation_alignment,last_two_dims_128x128,,dtype=float32,dataset,dataset
E:\BaiduNetdiskDownload\urbanflood24_lite_release\urbanflood24_lite\test\geodata\location2\impervious.npy,npy,impervious.npy,"[128, 128]",,last_two_dims_128x128,,dtype=float32,dataset,dataset
