relative_path,array_name,shape,dtype,split,group,location,scenario,role_guess,notes
train/geodata/location1/absolute_DEM.npy,absolute_DEM.npy,"(500, 500)",float64,train,geodata,location1,,static_dem,
train/geodata/location1/impervious.npy,impervious.npy,"(500, 500)",float64,train,geodata,location1,,static_impervious,
train/geodata/location1/manhole.npy,manhole.npy,"(500, 500)",float64,train,geodata,location1,,static_manhole,
train/geodata/location2/absolute_DEM.npy,absolute_DEM.npy,"(500, 500)",float64,train,geodata,location2,,static_dem,
train/geodata/location2/impervious.npy,impervious.npy,"(500, 500)",float64,train,geodata,location2,,static_impervious,
train/geodata/location2/manhole.npy,manhole.npy,"(500, 500)",float64,train,geodata,location2,,static_manhole,
train/geodata/location3/absolute_DEM.npy,absolute_DEM.npy,"(500, 500)",float64,train,geodata,location3,,static_dem,
train/geodata/location3/impervious.npy,impervious.npy,"(500, 500)",float64,train,geodata,location3,,static_impervious,
train/geodata/location3/manhole.npy,manhole.npy,"(500, 500)",float64,train,geodata,location3,,static_manhole,
test/geodata/location1/absolute_DEM.npy,absolute_DEM.npy,"(500, 500)",float64,test,geodata,location1,,static_dem,
test/geodata/location1/impervious.npy,impervious.npy,"(500, 500)",float64,test,geodata,location1,,static_impervious,
test/geodata/location1/manhole.npy,manhole.npy,"(500, 500)",float64,test,geodata,location1,,static_manhole,
test/geodata/location2/absolute_DEM.npy,absolute_DEM.npy,"(500, 500)",float64,test,geodata,location2,,static_dem,
test/geodata/location2/impervious.npy,impervious.npy,"(500, 500)",float64,test,geodata,location2,,static_impervious,
test/geodata/location2/manhole.npy,manhole.npy,"(500, 500)",float64,test,geodata,location2,,static_manhole,
test/geodata/location3/absolute_DEM.npy,absolute_DEM.npy,"(500, 500)",float64,test,geodata,location3,,static_dem,
test/geodata/location3/impervious.npy,impervious.npy,"(500, 500)",float64,test,geodata,location3,,static_impervious,
test/geodata/location3/manhole.npy,manhole.npy,"(500, 500)",float64,test,geodata,location3,,static_manhole,
