sample_id,split,location,scenario,target_size,component,method,input_shape,output_shape,input_dtype,output_dtype,success,notes
01_train_location1_G1135_intensity_117,train,location1,G1135_intensity_117,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
01_train_location1_G1135_intensity_117,train,location1,G1135_intensity_117,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
01_train_location1_G1135_intensity_117,train,location1,G1135_intensity_117,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
01_train_location1_G1135_intensity_117,train,location1,G1135_intensity_117,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
02_test_location1_G1135_intensity_103,test,location1,G1135_intensity_103,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
02_test_location1_G1135_intensity_103,test,location1,G1135_intensity_103,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
02_test_location1_G1135_intensity_103,test,location1,G1135_intensity_103,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
02_test_location1_G1135_intensity_103,test,location1,G1135_intensity_103,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
03_train_location1_G1135_intensity_155,train,location1,G1135_intensity_155,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
03_train_location1_G1135_intensity_155,train,location1,G1135_intensity_155,128,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 128, 128)",float64,float32,True,
03_train_location1_G1135_intensity_155,train,location1,G1135_intensity_155,256,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 256, 256)",float64,float32,True,
03_train_location1_G1135_intensity_155,train,location1,G1135_intensity_155,256,static_stack,torch.nn.functional.interpolate_bilinear,"(3, 500, 500)","(3, 256, 256)",float64,float32,True,
04_train_location2_G1135_intensity_117,train,location2,G1135_intensity_117,128,flood_window,torch.nn.functional.interpolate_bilinear,"(2, 1, 500, 500)","(2, 1, 128, 128)",float64,float32,True,
