sample_id,split,location,scenario,scenario_type,flood_path,rainfall_path,flood_shape,flood_dtype,rainfall_shape,rainfall_dtype,rainfall_length,dem_shape,dem_dtype,impervious_shape,impervious_dtype,manhole_shape,manhole_dtype,flood_window_shape,flood_spatial_500x500,static_spatial_500x500,rainfall_length_supported,success,notes
01_train_location1_G1135_intensity_117,train,location1,G1135_intensity_117,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_117/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_117/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
02_test_location1_G1135_intensity_103,test,location1,G1135_intensity_103,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/test/flood/location1/G1135_intensity_103/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/test/flood/location1/G1135_intensity_103/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
03_train_location1_G1135_intensity_155,train,location1,G1135_intensity_155,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_155/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_155/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
04_train_location2_G1135_intensity_117,train,location2,G1135_intensity_117,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location2/G1135_intensity_117/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location2/G1135_intensity_117/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
05_train_location3_G1135_intensity_117,train,location3,G1135_intensity_117,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location3/G1135_intensity_117/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location3/G1135_intensity_117/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
06_train_location1_r100y_p0.1_d3h,train,location1,r100y_p0.1_d3h,design,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/r100y_p0.1_d3h/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/r100y_p0.1_d3h/rainfall.npy,"(360, 1, 500, 500)",float64,"(180,)",float64,180,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
07_train_location1_G1135_intensity_156,train,location1,G1135_intensity_156,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_156/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_156/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
08_train_location1_G1135_intensity_163,train,location1,G1135_intensity_163,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_163/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_163/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
09_train_location2_r300y_p0.2_d3h,train,location2,r300y_p0.2_d3h,design,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location2/r300y_p0.2_d3h/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location2/r300y_p0.2_d3h/rainfall.npy,"(480, 1, 500, 500)",float64,"(180,)",float64,180,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
10_train_location1_r100y_p0.2_d3h,train,location1,r100y_p0.2_d3h,design,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/r100y_p0.2_d3h/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/r100y_p0.2_d3h/rainfall.npy,"(360, 1, 500, 500)",float64,"(180,)",float64,180,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
11_train_location1_G1135_intensity_179,train,location1,G1135_intensity_179,measured,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_179/flood.npy,E:/BaiduNetdiskDownload/urbanflood24/urbanflood24/train/flood/location1/G1135_intensity_179/rainfall.npy,"(360, 1, 500, 500)",float64,"(360,)",float64,360,"(500, 500)",float64,"(500, 500)",float64,"(500, 500)",float64,"(2, 1, 500, 500)",True,True,True,True,
