epoch,train_rmse,train_mae,train_wet_dry_iou,train_rollout_stability,train_step_rmse_std,train_loss,train_data_loss,test_rmse,test_mae,test_wet_dry_iou,test_rollout_stability,test_step_rmse_std,test_loss,test_data_loss
1,0.12871975606734243,0.05184214633967107,0.182574691078662,0.9985117472708225,0.00149404024548024,0.03897192748700036,0.03897192748700036,0.0922387704437521,0.029571487813276082,0.2572032731241052,0.9987056034927567,0.001297711665969814,0.020726505829467595,0.020726505829467595
2,0.07067992754552203,0.02516550844690452,0.4208358723670244,0.998669366662701,0.0013358108097463628,0.015200152389055196,0.015200152389055196,0.0460617279119712,0.02080975147691788,0.5034169057422938,0.999023778984944,0.000978624657174502,0.010292782302713022,0.010292782302713022
3,0.03915047597741553,0.016271040751598777,0.5913123884345016,0.9986536068220934,0.0013527083036819932,0.007566475214116508,0.007566475214116508,0.03965143198486961,0.016948932793942124,0.5630654120468535,0.9983401373028755,0.001666187256887497,0.008320986593995864,0.008320986593995864
4,0.027843570169837524,0.012146599212428555,0.6894114886876196,0.9985251883665721,0.0014822396214791904,0.004739332828830811,0.004739332828830811,0.022899307594343554,0.009836005836405093,0.6662704195283974,0.9983591086541613,0.0016478295182196234,0.003546922411866641,0.003546922411866641
5,0.021958347279966497,0.01011911359722338,0.7449092634332677,0.9984363050510486,0.001571615701156285,0.0034230586305056933,0.0034230586305056933,0.020174533558019903,0.008652002248709323,0.7008069154787032,0.9983902660508951,0.0016166008094842255,0.0029565451770849904,0.0029565451770849904
6,0.01763204985666865,0.00827172024922523,0.7819607169794229,0.9983741217603286,0.0016335880524403971,0.002418935978676018,0.002418935978676018,0.01560193722252734,0.007734804679785157,0.76345787125562,0.9985548465823134,0.0014505150170312693,0.0020452233328190537,0.0020452233328190537
7,0.014991977788546744,0.0070465710741700605,0.8126593170532336,0.9984326710303625,0.0015749970603072445,0.0018520694208442972,0.0018520694208442972,0.013156176731475474,0.006338007664453471,0.7925161928869784,0.9986019196609656,0.001403593278231104,0.0014924472115277847,0.0014924472115277847
8,0.013272230309667066,0.00621791159210261,0.8337022276983286,0.9985434511055549,0.0014631400607603004,0.0015081628280313453,0.0015081628280313453,0.01309717578017929,0.0069359327001924,0.8118895719138285,0.9987173036982616,0.0012875468492173543,0.001520033054475789,0.001520033054475789
9,0.012113626309049627,0.005653192864944382,0.8439052045190086,0.9986172328392665,0.00138891141774972,0.0012656142800854771,0.0012656142800854771,0.011399749803482942,0.005316878958789554,0.8218414770672098,0.9986412959794203,0.0013640444347042073,0.001158029410286569,0.001158029410286569
10,0.01145584367623087,0.005356151910382323,0.8562279426647971,0.998658082758387,0.0013474915721872094,0.00115450383894616,0.00115450383894616,0.01109213042097205,0.00525291082279485,0.8255524213115374,0.998722607580324,0.0012824604989987165,0.00110163203172912,0.00110163203172912
