split,location,scenario,scenario_type,sum_target_depth,sum_pred_depth,volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy
test,location1,G1135_intensity_103,measured,28697.26422509551,28724.474626541138,0.0009481879956289335,0.0009481879956289335,0.0009481879956289335
test,location1,G1135_intensity_161,measured,21463.154472351074,21943.082090377808,0.022360535057648595,0.022360535057648595,0.022360535057648595
test,location1,G1166_intensity_246,measured,16826.413038253784,16743.809869766235,-0.004909137098902527,-0.004909137098902527,0.004909137098902527
test,location1,G1166_intensity_394,measured,50182.27057647705,49307.62431335449,-0.01742938797059034,-0.01742938797059034,0.01742938797059034
test,location1,G3501_intensity_151,measured,33534.408313035965,33974.288887023926,0.01311729045229536,0.01311729045229536,0.01311729045229536
test,location1,G3531_intensity_128,measured,42591.92623373866,43147.77944564819,0.013050670891452202,0.013050670891452202,0.013050670891452202
test,location1,r100y_p0.5_d3h,design,65620.90183258057,65062.19585418701,-0.008514146602541189,-0.008514146602541189,0.008514146602541189
test,location1,r100y_p0.8_d3h,design,62857.32222747803,63943.8963470459,0.017286357118994105,0.017286357118994105,0.017286357118994105
test,location1,r200y_p0.5_d3h,design,74067.47737884521,73476.6711730957,-0.007976594136284907,-0.007976594136284907,0.007976594136284907
test,location1,r200y_p0.7_d3h,design,69971.44654846191,69630.46054077148,-0.0048732164977361775,-0.0048732164977361775,0.0048732164977361775
test,location1,r300y_p0.1_d3h,design,82404.31396484375,80959.2232208252,-0.01753659091968262,-0.01753659091968262,0.01753659091968262
test,location1,r300y_p0.5_d3h,design,78443.30079650879,76779.73146057129,-0.021207283720161087,-0.021207283720161087,0.021207283720161087
test,location1,r300y_p0.6_d3h,design,77245.24517822266,74221.72183227539,-0.03914187001376328,-0.03914187001376328,0.03914187001376328
test,location1,r300y_p0.8_d3h,design,74057.99505615234,72735.09478759766,-0.017863031095449403,-0.017863031095449403,0.017863031095449403
test,location1,r500y_p0.1_d3h,design,88343.20123291016,85366.71243286133,-0.03369233578259793,-0.03369233578259793,0.03369233578259793
test,location1,r500y_p0.3_d3h,design,87588.65408325195,82997.45251464844,-0.05241776593849284,-0.05241776593849284,0.05241776593849284
test,location2,G1135_intensity_103,measured,6585.031219482422,6818.554203033447,0.03546269953286267,0.03546269953286267,0.03546269953286267
test,location2,G1135_intensity_161,measured,5412.858737945557,5691.821132659912,0.051536980405336656,0.051536980405336656,0.051536980405336656
test,location2,G1166_intensity_246,measured,5599.475788116455,5780.335510253906,0.032299402476439414,0.032299402476439414,0.032299402476439414
test,location2,G1166_intensity_394,measured,11201.60075378418,11468.809303283691,0.023854496814595182,0.023854496814595182,0.023854496814595182
