split,location,scenario,scenario_type,false_dry_rate,false_wet_rate,wet_dry_iou
test,location1,G1135_intensity_103,measured,0.06693325517125868,0.0035198492421493824,0.884897942975141
test,location1,G1135_intensity_161,measured,0.052500296947380926,0.003684473843642312,0.8832039563521842
test,location1,G1166_intensity_246,measured,0.09436586673816866,0.003238187883626136,0.8369107353032275
test,location1,G1166_intensity_394,measured,0.0632631607320952,0.004216310931519697,0.9002992189220347
test,location1,G3501_intensity_151,measured,0.04743593120341349,0.0044038128451509735,0.9017003806326147
test,location1,G3531_intensity_128,measured,0.06967368759311734,0.006491218296029082,0.8710314882560087
test,location1,r100y_p0.5_d3h,design,0.060274218878060906,0.004914200231979158,0.9071095707920109
test,location1,r100y_p0.8_d3h,design,0.04748108445415139,0.006584698237812746,0.9061948403716799
test,location1,r200y_p0.5_d3h,design,0.05081460398468937,0.00499750197942566,0.9183513593071949
test,location1,r200y_p0.7_d3h,design,0.053376423675362925,0.004697980259504033,0.9156570011042036
test,location1,r300y_p0.1_d3h,design,0.060257765381984844,0.004279890598635599,0.9162704495656768
test,location1,r300y_p0.5_d3h,design,0.05673745393762109,0.004460169715476994,0.9168097479922459
test,location1,r300y_p0.6_d3h,design,0.07721377898327138,0.004103177763064215,0.8987276310456161
test,location1,r300y_p0.8_d3h,design,0.06267700216804077,0.005374555971433707,0.9037500848764684
test,location1,r500y_p0.1_d3h,design,0.0716520317867039,0.003617547497128011,0.909609185048023
test,location1,r500y_p0.3_d3h,design,0.07787715698042101,0.003619758269976373,0.9032680840304262
test,location2,G1135_intensity_103,measured,0.16046280991735537,0.0016225705199097117,0.7753793545629408
test,location2,G1135_intensity_161,measured,0.10428088183832963,0.0013935345426576047,0.8264394618834081
test,location2,G1166_intensity_246,measured,0.1445691382765531,0.0017630178420764977,0.771089996025868
test,location2,G1166_intensity_394,measured,0.13951217606967797,0.002214033780280313,0.8073695397244209
test,location2,G3501_intensity_151,measured,0.09887250650477017,0.0020030489116897986,0.8356436580404031
test,location2,G3531_intensity_128,measured,0.18643903854524352,0.0023153619630299506,0.7493095768374165
test,location2,r100y_p0.5_d3h,design,0.10672098314645012,0.003144450661468375,0.8393588693158541
test,location2,r100y_p0.8_d3h,design,0.10603309415727047,0.0036521965685968254,0.827390391000881
test,location2,r200y_p0.5_d3h,design,0.11031506150727018,0.0028952063931731824,0.8443069949715527
test,location2,r200y_p0.7_d3h,design,0.1148871858658,0.0025345522146459337,0.842336379604409
test,location2,r300y_p0.1_d3h,design,0.14602006048249155,0.0013761972549398748,0.8305231358875743
test,location2,r300y_p0.5_d3h,design,0.15982806279004894,0.0019250360442249587,0.8106114359815028
test,location2,r300y_p0.6_d3h,design,0.11180192121121026,0.002733247937394686,0.8410884811469682
test,location2,r300y_p0.8_d3h,design,0.11448984486436677,0.003886470863519596,0.8250535130430692
test,location2,r500y_p0.1_d3h,design,0.15764322916666668,0.0012178623374401096,0.8228358474727175
test,location2,r500y_p0.3_d3h,design,0.1220811649381312,0.0021676082647940605,0.8441715895448765
test,location3,G1135_intensity_103,measured,0.09153097384829319,0.004294691890230587,0.8478816042870301
test,location3,G1135_intensity_161,measured,0.06799751276005907,0.004071085199275242,0.8638617725105964
test,location3,G1166_intensity_246,measured,0.0894201240440778,0.004264369677835634,0.8302860594081151
test,location3,G1166_intensity_394,measured,0.09321796140159178,0.004839232568396945,0.8624878864060898
test,location3,G3501_intensity_151,measured,0.06136489492505373,0.00478271810879064,0.8806668075663109
test,location3,G3531_intensity_128,measured,0.07471006708003079,0.006943952725300365,0.8524525008182796
test,location3,r100y_p0.5_d3h,design,0.05903810467983426,0.006382161033353397,0.889873189494561
test,location3,r100y_p0.8_d3h,design,0.056818181818181816,0.007467061423486344,0.8808870982784026
test,location3,r200y_p0.5_d3h,design,0.06790153136043464,0.005279151581683583,0.8922807845212959
test,location3,r200y_p0.7_d3h,design,0.06625344612119043,0.005224857759507989,0.8923557972188714
test,location3,r300y_p0.1_d3h,design,0.08881573523996901,0.004089429672665887,0.8835645273889016
test,location3,r300y_p0.5_d3h,design,0.07627128521311437,0.00494838239135182,0.8878520377299308
test,location3,r300y_p0.6_d3h,design,0.10690378602093373,0.004151850127080664,0.8644162512379867
test,location3,r300y_p0.8_d3h,design,0.06907438733198576,0.006006615509189114,0.8851726040124264
test,location3,r500y_p0.1_d3h,design,0.10017904249345806,0.0036919777874432295,0.8761062859736348
test,location3,r500y_p0.3_d3h,design,0.10855816439346702,0.0035231115102057355,0.869264648776799
