priority_rank,priority_score_uncalibrated,split,location,scenario,scenario_type,warning_level,warning_action,rmse,wet_dry_iou,false_dry_rate,false_wet_rate,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,top_failure_drivers,suggested_review_focus
1,5.604511,test,location2,r500y_p0.1_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.010566763255156323,0.8228358474727175,0.15764322916666668,0.0012178623374401096,0.06606797762747323,0.04387354850769043,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | local peak-depth underprediction | aggregate volume-response proxy bias
2,5.470801,test,location2,r300y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.012170629789711907,0.8106114359815028,0.15982806279004894,0.0019250360442249587,0.049511567783290314,0.05596137046813965,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
3,5.424781,test,location3,r500y_p0.3_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.018628359356128065,0.869264648776799,0.10855816439346702,0.0035231115102057355,0.04946162204079427,0.04053914546966553,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
4,5.028090,test,location3,r300y_p0.6_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.0172178380688182,0.8644162512379867,0.10690378602093373,0.004151850127080664,0.03522877066194096,0.03551077842712402,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
5,4.962513,test,location1,r500y_p0.3_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.017437123733624518,0.9032680840304262,0.07787715698042101,0.003619758269976373,0.05241776593849284,0.0450282096862793,high RMSE | elevated volume-bias proxy | peak-depth underprediction proxy,depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
6,4.868986,test,location2,r300y_p0.1_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.009740406075353992,0.8305231358875743,0.14602006048249155,0.0013761972549398748,0.048682797483651855,0.018207311630249023,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | local peak-depth underprediction | aggregate volume-response proxy bias
7,4.801605,test,location3,G3531_intensity_128,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.013891983002547268,0.8524525008182796,0.07471006708003079,0.006943952725300365,0.02533135892684273,0.0,high RMSE | low wet/dry IoU | elevated false-wet rate,wet/dry extent and boundary agreement | depth-error hotspots | unnecessary wet predictions in target-dry regions
8,4.788765,test,location2,G3531_intensity_128,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.010259241887115963,0.7493095768374165,0.18643903854524352,0.0023153619630299506,0.010487614655940223,0.0,low wet/dry IoU | elevated false-dry rate,missed-inundation and target-wet regions | wet/dry extent and boundary agreement
9,4.778059,test,location2,G1135_intensity_103,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.007115698010527896,0.7753793545629408,0.16046280991735537,0.0016225705199097117,0.03546269953286267,0.0,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | aggregate volume-response proxy bias
10,4.776573,test,location3,r100y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.013666005032846453,0.8808870982784026,0.056818181818181816,0.007467061423486344,0.03263270241654788,0.0,high RMSE | low wet/dry IoU | elevated false-wet rate | elevated volume-bias proxy,wet/dry extent and boundary agreement | depth-error hotspots | unnecessary wet predictions in target-dry regions | aggregate volume-response proxy bias
11,4.600789,test,location2,r100y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.012623533681663787,0.827390391000881,0.10603309415727047,0.0036521965685968254,0.029562182093631817,0.0,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | aggregate volume-response proxy bias
12,4.577435,test,location2,G1166_intensity_246,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.006926437686055327,0.771089996025868,0.1445691382765531,0.0017630178420764977,0.032299402476439414,0.0,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | aggregate volume-response proxy bias
13,4.565222,test,location1,r300y_p0.6_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.015791566538873036,0.8987276310456161,0.07721377898327138,0.004103177763064215,0.03914187001376328,0.050170183181762695,high RMSE | elevated volume-bias proxy | peak-depth underprediction proxy,depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
14,4.563631,test,location2,r500y_p0.3_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.013403122306542694,0.8441715895448765,0.1220811649381312,0.0021676082647940605,0.035039621076131004,0.0005097389221191406,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
15,4.360205,test,location3,r500y_p0.1_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.014778151915862445,0.8761062859736348,0.10017904249345806,0.0036919777874432295,0.027172683285216995,0.01845550537109375,high RMSE | low wet/dry IoU | elevated volume-bias proxy | peak-depth underprediction proxy,wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
16,4.343856,test,location2,G1166_intensity_394,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.009649124305794489,0.8073695397244209,0.13951217606967797,0.002214033780280313,0.023854496814595182,0.0,low wet/dry IoU | elevated false-dry rate,missed-inundation and target-wet regions | wet/dry extent and boundary agreement
17,4.332598,test,location2,r300y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.015696815273507792,0.8250535130430692,0.11448984486436677,0.003886470863519596,0.0068127595690061086,0.05893254280090332,high RMSE | low wet/dry IoU | elevated false-dry rate | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction
18,4.287379,test,location2,G1135_intensity_161,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.0056874454158098,0.8264394618834081,0.10428088183832963,0.0013935345426576047,0.051536980405336656,0.0,low wet/dry IoU | elevated volume-bias proxy,wet/dry extent and boundary agreement | aggregate volume-response proxy bias
19,4.209231,test,location1,G3531_intensity_128,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.014358219388239358,0.8710314882560087,0.06967368759311734,0.006491218296029082,0.013050670891452202,0.0,high RMSE | low wet/dry IoU | elevated false-wet rate,wet/dry extent and boundary agreement | depth-error hotspots | unnecessary wet predictions in target-dry regions
20,4.093166,test,location1,r500y_p0.1_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.014728131050044413,0.909609185048023,0.0716520317867039,0.003617547497128011,0.03369233578259793,0.03895831108093262,high RMSE | elevated volume-bias proxy | peak-depth underprediction proxy,depth-error hotspots | local peak-depth underprediction | aggregate volume-response proxy bias
21,4.049203,test,location3,r100y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.012039682549643854,0.889873189494561,0.05903810467983426,0.006382161033353397,0.021094427722207945,0.0,high RMSE | elevated false-wet rate,depth-error hotspots | unnecessary wet predictions in target-dry regions
22,4.007686,test,location2,G3501_intensity_151,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.0062131313995710865,0.8356436580404031,0.09887250650477017,0.0020030489116897986,0.04043149099247931,0.0,low wet/dry IoU | elevated volume-bias proxy,wet/dry extent and boundary agreement | aggregate volume-response proxy bias
23,3.988372,test,location2,r200y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.011883090225965122,0.8443069949715527,0.11031506150727018,0.0028952063931731824,0.018432385385845306,0.0,high RMSE | low wet/dry IoU | elevated false-dry rate,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots
24,3.919345,test,location1,r300y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.014701976554463004,0.9037500848764684,0.06267700216804077,0.005374555971433707,0.017863031095449403,0.033025264739990234,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,depth-error hotspots | local peak-depth underprediction | unnecessary wet predictions in target-dry regions
25,3.860096,test,location1,r100y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.013284833397875728,0.9061948403716799,0.04748108445415139,0.006584698237812746,0.017286357118994105,0.0,high RMSE | elevated false-wet rate,depth-error hotspots | unnecessary wet predictions in target-dry regions
26,3.796460,test,location3,r300y_p0.1_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.013786442163568785,0.8835645273889016,0.08881573523996901,0.004089429672665887,0.013749757843001543,0.003186941146850586,high RMSE | low wet/dry IoU | peak-depth underprediction proxy,wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction
27,3.757647,test,location3,r300y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.01335117237639418,0.8878520377299308,0.07627128521311437,0.00494838239135182,0.011413893259057466,0.031658291816711426,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,depth-error hotspots | local peak-depth underprediction | unnecessary wet predictions in target-dry regions
28,3.736666,test,location3,r300y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.014996579659864862,0.8851726040124264,0.06907438733198576,0.006006615509189114,0.0003921621169694309,0.05742490291595459,high RMSE | low wet/dry IoU | elevated false-wet rate | peak-depth underprediction proxy,wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction | unnecessary wet predictions in target-dry regions
29,3.726403,test,location2,r300y_p0.6_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.012770114532960654,0.8410884811469682,0.11180192121121026,0.002733247937394686,0.00466463833479669,0.09180116653442383,high RMSE | low wet/dry IoU | elevated false-dry rate | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | depth-error hotspots | local peak-depth underprediction
30,3.666564,test,location3,G1166_intensity_246,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.010215940152172637,0.8302860594081151,0.0894201240440778,0.004264369677835634,0.006060189866617536,0.0,low wet/dry IoU,wet/dry extent and boundary agreement
31,3.488754,test,location2,r200y_p0.7_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.010056093493384953,0.842336379604409,0.1148871858658,0.0025345522146459337,0.005307757966083302,0.0529017448425293,low wet/dry IoU | elevated false-dry rate | peak-depth underprediction proxy,missed-inundation and target-wet regions | wet/dry extent and boundary agreement | local peak-depth underprediction
32,3.440580,test,location3,r200y_p0.7_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.011652030784489648,0.8923557972188714,0.06625344612119043,0.005224857759507989,0.00752344945974139,0.01941215991973877,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,depth-error hotspots | local peak-depth underprediction | unnecessary wet predictions in target-dry regions
33,3.389792,test,location1,r100y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.01367455993891208,0.9071095707920109,0.060274218878060906,0.004914200231979158,0.008514146602541189,0.0,high RMSE | elevated false-wet rate,depth-error hotspots | unnecessary wet predictions in target-dry regions
