split,location,scenario,scenario_type,peak_target_depth,peak_pred_depth,signed_peak_depth_bias,absolute_peak_depth_error,relative_peak_depth_error,peak_depth_underprediction_proxy,peak_depth_underprediction_flag,target_peak_global_step,pred_peak_global_step,signed_peak_timing_error,absolute_peak_timing_error,peak_timing_error_proxy
test,location1,G1135_intensity_103,measured,1.6391682624816895,1.6319111585617065,-0.00725710391998291,0.00725710391998291,-0.004427308706548347,0.00725710391998291,True,215,211,-4,4,4
test,location1,G1135_intensity_161,measured,1.5366705656051636,1.5401612520217896,0.0034906864166259766,0.0034906864166259766,0.002271590602928802,0.0,False,204,204,0,0,0
test,location1,G1166_intensity_246,measured,1.602015733718872,1.6045879125595093,0.002572178840637207,0.002572178840637207,0.0016055890004689447,0.0,False,348,350,2,2,2
test,location1,G1166_intensity_394,measured,1.9416329860687256,1.9454305171966553,0.0037975311279296875,0.0037975311279296875,0.001955843949488439,0.0,False,348,350,2,2,2
test,location1,G3501_intensity_151,measured,1.591009497642517,1.5848411321640015,-0.006168365478515625,0.006168365478515625,-0.003877013611581589,0.006168365478515625,True,311,311,0,0,0
test,location1,G3531_intensity_128,measured,1.7513091564178467,1.7604988813400269,0.009189724922180176,0.009189724922180176,0.005247345900353181,0.0,False,204,206,2,2,2
test,location1,r100y_p0.5_d3h,design,1.99599027633667,2.0009303092956543,0.004940032958984375,0.004940032958984375,0.0024749784693595994,0.0,False,204,207,3,3,3
test,location1,r100y_p0.8_d3h,design,2.0066921710968018,2.0122013092041016,0.005509138107299805,0.005509138107299805,0.0027453827680449182,0.0,False,204,207,3,3,3
test,location1,r200y_p0.5_d3h,design,2.053644895553589,2.0518412590026855,-0.0018036365509033203,0.0018036365509033203,-0.0008782611613178259,0.0018036365509033203,True,204,207,3,3,3
test,location1,r200y_p0.7_d3h,design,2.0695443153381348,2.0691850185394287,-0.0003592967987060547,0.0003592967987060547,-0.0001736115511241665,0.0003592967987060547,True,204,207,3,3,3
test,location1,r300y_p0.1_d3h,design,2.056236982345581,2.047607660293579,-0.008629322052001953,0.008629322052001953,-0.004196657353258161,0.008629322052001953,True,167,207,40,40,40
test,location1,r300y_p0.5_d3h,design,2.0905442237854004,2.082754373550415,-0.0077898502349853516,0.0077898502349853516,-0.0037262307806529326,0.0077898502349853516,True,204,207,3,3,3
test,location1,r300y_p0.6_d3h,design,2.0998735427856445,2.0886600017547607,-0.011213541030883789,0.011213541030883789,-0.005340103012111939,0.011213541030883789,True,204,215,11,11,11
test,location1,r300y_p0.8_d3h,design,2.1098875999450684,2.1120104789733887,0.0021228790283203125,0.0021228790283203125,0.0010061574030652545,0.0,False,204,211,7,7,7
test,location1,r500y_p0.1_d3h,design,2.1000711917877197,2.0837466716766357,-0.016324520111083984,0.016324520111083984,-0.00777331748319802,0.016324520111083984,True,167,167,0,0,0
test,location1,r500y_p0.3_d3h,design,2.1143088340759277,2.098930597305298,-0.015378236770629883,0.015378236770629883,-0.007273410829478485,0.015378236770629883,True,204,207,3,3,3
test,location2,G1135_intensity_103,measured,1.7207486629486084,1.737384557723999,0.016635894775390625,0.016635894775390625,0.009667823740675758,0.0,False,162,166,4,4,4
test,location2,G1135_intensity_161,measured,1.450067162513733,1.405972957611084,-0.044094204902648926,0.044094204902648926,-0.030408387999222297,0.044094204902648926,True,156,157,1,1,1
test,location2,G1166_intensity_246,measured,1.8277907371520996,1.677493929862976,-0.15029680728912354,0.15029680728912354,-0.08222867324697279,0.15029680728912354,True,301,300,-1,1,1
