split,location,scenario,scenario_type,phase48_warning_level,phase53_warning_level,warning_label_transition,comparability_status,comparability_reason,phase48_rmse,phase52_rmse,delta_rmse,relative_change_rmse,direction_rmse,phase48_mae,phase52_mae,delta_mae,relative_change_mae,direction_mae,phase48_wet_dry_iou,phase52_wet_dry_iou,delta_wet_dry_iou,relative_change_wet_dry_iou,direction_wet_dry_iou,phase48_false_dry_rate,phase52_false_dry_rate,delta_false_dry_rate,relative_change_false_dry_rate,direction_false_dry_rate,phase48_false_wet_rate,phase52_false_wet_rate,delta_false_wet_rate,relative_change_false_wet_rate,direction_false_wet_rate,phase48_peak_depth_bias,phase52_peak_depth_bias,delta_peak_depth_bias,relative_change_peak_depth_bias,direction_peak_depth_bias,phase48_absolute_peak_depth_error,phase52_absolute_peak_depth_error,delta_absolute_peak_depth_error,relative_change_absolute_peak_depth_error,direction_absolute_peak_depth_error,phase48_absolute_peak_timing_error,phase52_absolute_peak_timing_error,delta_absolute_peak_timing_error,relative_change_absolute_peak_timing_error,direction_absolute_peak_timing_error,phase48_signed_volume_bias_proxy,phase52_signed_volume_bias_proxy,delta_signed_volume_bias_proxy,relative_change_signed_volume_bias_proxy,direction_signed_volume_bias_proxy,phase48_absolute_relative_volume_bias_proxy,phase52_absolute_relative_volume_bias_proxy,delta_absolute_relative_volume_bias_proxy,relative_change_absolute_relative_volume_bias_proxy,direction_absolute_relative_volume_bias_proxy
test,location1,G1135_intensity_103,measured,caution,reliable,improved,matched,,0.010105772224426502,0.00553428673996515,-0.004571485484461352,-0.45236379595135606,improved,0.004618382741076251,0.0022169488753813007,-0.00240143386569495,-0.5199728996768529,improved,0.884897942975141,0.9421053710957528,0.05720742812061175,0.06464861691086432,improved,0.06693325517125868,0.038229629009295704,-0.02870362616196298,-0.42883953706599937,improved,0.0035198492421493824,0.0013497268055472824,-0.0021701224366021,-0.6165384615384616,improved,0.015064001083374023,-0.00725710391998291,-0.022321105003356934,-1.481751420477027,improved,0.015064001083374023,0.00725710391998291,-0.007806897163391113,-0.518248579522973,improved,0.0,4.0,4.0,,degraded,0.0009481879956289335,-0.013099308534274495,-0.014047496529903428,-14.81509636766253,degraded,0.0009481879956289335,0.013099308534274495,0.012151120538645562,12.81509636766253,degraded
test,location1,G1135_intensity_161,measured,caution,reliable,improved,matched,,0.007771292212772041,0.0037657228151818174,-0.004005569397590223,-0.5154315766182502,improved,0.0042810528151070075,0.0019539191077152887,-0.002327133707391719,-0.5435891141496115,improved,0.8832039563521842,0.9491893698813304,0.06598541352914622,0.0747114107161382,improved,0.052500296947380926,0.025656253711842263,-0.026844043235538663,-0.5113122171945701,improved,0.003684473843642312,0.0013412660402526764,-0.0023432078033896356,-0.6359680928208846,improved,0.011025547981262207,0.0034906864166259766,-0.0075348615646362305,-0.6834001881304804,improved,0.011025547981262207,0.0034906864166259766,-0.0075348615646362305,-0.6834001881304804,improved,11.0,0.0,-11.0,-1.0,improved,0.022360535057648595,-0.01629357038837675,-0.03865410544602535,-1.7286753356469176,improved,0.022360535057648595,0.01629357038837675,-0.006066964669271844,-0.2713246643530827,improved
test,location1,G1166_intensity_246,measured,caution,caution,unchanged,matched,,0.009491679949558702,0.0052945007137597325,-0.004197179235798969,-0.4421956132216731,improved,0.004351042676717043,0.00214135687565431,-0.002209685801062733,-0.5078520173766692,improved,0.8369107353032275,0.9071202939659618,0.07020955866273437,0.083891334763792,improved,0.09436586673816866,0.05676028958305403,-0.03760557715511463,-0.39850825785828453,improved,0.003238187883626136,0.0015701906962236121,-0.0016679971874025237,-0.5151020408163265,improved,0.009065389633178711,0.002572178840637207,-0.006493210792541504,-0.7162638403071825,improved,0.009065389633178711,0.002572178840637207,-0.006493210792541504,-0.7162638403071825,improved,2.0,2.0,0.0,0.0,unchanged,-0.004909137098902527,-0.029716564797417248,-0.02480742769851472,-5.053317354705902,degraded,0.004909137098902527,0.029716564797417248,0.02480742769851472,5.053317354705902,degraded
test,location1,G1166_intensity_394,measured,caution,reliable,improved,matched,,0.01158688582879446,0.006279660254407067,-0.005307225574387393,-0.4580372718611292,improved,0.005649166841370364,0.0028175629364947477,-0.002831603904875616,-0.5012427468310939,improved,0.9002992189220347,0.9446912439354435,0.044392025013408776,0.04930807900351305,improved,0.0632631607320952,0.03558047386722014,-0.027682686864875065,-0.43757988922028124,improved,0.004216310931519697,0.002175549047082841,-0.0020407618844368565,-0.484015984015984,improved,0.025275349617004395,0.0037975311279296875,-0.021477818489074707,-0.8497535667963684,improved,0.025275349617004395,0.0037975311279296875,-0.021477818489074707,-0.8497535667963684,improved,96.0,2.0,-94.0,-0.9791666666666666,improved,-0.01742938797059034,-0.008569730664557948,0.00885965730603239,0.5083171779170804,improved,0.01742938797059034,0.008569730664557948,-0.00885965730603239,-0.5083171779170804,improved
test,location1,G3501_intensity_151,measured,reliable,reliable,unchanged,matched,,0.008135115569305695,0.004119740295626141,-0.004015375273679554,-0.49358552309076204,improved,0.0046243356773629785,0.002208154124673456,-0.0024161815526895225,-0.5224926824661974,improved,0.9017003806326147,0.9534419744593026,0.05174159382668786,0.05738224685054143,improved,0.04743593120341349,0.026602049147944267,-0.02083388205546922,-0.43920044419766796,improved,0.0044038128451509735,0.00163403732651205,-0.002769775518638924,-0.6289494163424125,improved,0.01201629638671875,-0.006168365478515625,-0.018184661865234375,-1.5133333333333334,improved,0.01201629638671875,0.006168365478515625,-0.005847930908203125,-0.4866666666666667,improved,0.0,0.0,0.0,,unchanged,0.01311729045229536,-0.007641747405133102,-0.020759037857428463,-1.582570572247708,improved,0.01311729045229536,0.007641747405133102,-0.005475543047162257,-0.41742942775229214,improved
test,location1,G3531_intensity_128,measured,high-risk,reliable,improved,matched,,0.014358219388239358,0.006569440464807087,-0.00778877892343227,-0.5424613395872725,improved,0.005895803294455011,0.0027112020179629326,-0.003184601276492079,-0.5401471381325067,improved,0.8710314882560087,0.940218198273363,0.06918671001735421,0.07943077942667813,improved,0.06967368759311734,0.028833513481931583,-0.04084017411118576,-0.5861635220125786,improved,0.006491218296029082,0.003138710531080686,-0.0033525077649483965,-0.5164681901083575,improved,0.025195598602294922,0.009189724922180176,-0.016005873680114746,-0.635264671927932,improved,0.025195598602294922,0.009189724922180176,-0.016005873680114746,-0.635264671927932,improved,37.0,2.0,-35.0,-0.9459459459459459,improved,0.013050670891452202,0.00587252930553758,-0.007178141585914622,-0.5500208874791326,improved,0.013050670891452202,0.00587252930553758,-0.007178141585914622,-0.5500208874791326,improved
test,location1,r100y_p0.5_d3h,design,high-risk,reliable,improved,matched,,0.01367455993891208,0.005472416004106591,-0.008202143934805489,-0.5998104488514923,improved,0.006032016671573122,0.0025282855688904724,-0.0035037311026826497,-0.5808556728953623,improved,0.9071095707920109,0.9627751515025302,0.0556655807105193,0.061365884015441324,improved,0.060274218878060906,0.02217122552466965,-0.038102993353391255,-0.6321607158522677,improved,0.004914200231979158,0.002136954424406231,-0.0027772458075729267,-0.5651470588235293,improved,0.012572526931762695,0.004940032958984375,-0.00763249397277832,-0.607077162308232,improved,0.012572526931762695,0.004940032958984375,-0.00763249397277832,-0.607077162308232,improved,11.0,3.0,-8.0,-0.7272727272727273,improved,-0.008514146602541189,-0.004496034640937448,0.004018111961603741,0.4719336122782368,improved,0.008514146602541189,0.004496034640937448,-0.004018111961603741,-0.4719336122782368,improved
test,location1,r100y_p0.8_d3h,design,high-risk,reliable,improved,matched,,0.013284833397875728,0.006308179828777061,-0.006976653569098667,-0.5251592820286514,improved,0.006140995072200894,0.0028601693144689002,-0.003280825757731994,-0.5342498600240965,improved,0.9061948403716799,0.9572157671842763,0.0510209268125964,0.05630238061350023,improved,0.04748108445415139,0.01772879731672257,-0.02975228713742882,-0.6266134710161934,improved,0.006584698237812746,0.003371652569072946,-0.0032130456687398,-0.48795640326975476,improved,0.015520095825195312,0.005509138107299805,-0.010010957717895508,-0.6450319528081603,improved,0.015520095825195312,0.005509138107299805,-0.010010957717895508,-0.6450319528081603,improved,11.0,3.0,-8.0,-0.7272727272727273,improved,0.017286357118994105,0.010017994396185585,-0.00726836272280852,-0.4204681572164273,improved,0.017286357118994105,0.010017994396185585,-0.00726836272280852,-0.4204681572164273,improved
test,location1,r200y_p0.5_d3h,design,high-risk,reliable,improved,matched,,0.012236500722517642,0.0060148755574805386,-0.0062216251650371035,-0.5084480691108081,improved,0.0058017340100680785,0.0026940455039342246,-0.003107688506133854,-0.5356482218490033,improved,0.9183513593071949,0.9668254442719533,0.04847408496475836,0.05278381141758994,improved,0.05081460398468937,0.015914221218961626,-0.034900382765727746,-0.6868179623370353,improved,0.00499750197942566,0.0026572511255700893,-0.0023402508538555708,-0.4682841274481146,improved,-0.016758203506469727,-0.0018036365509033203,0.014954566955566406,0.8923729175262132,improved,0.016758203506469727,0.0018036365509033203,-0.014954566955566406,-0.8923729175262132,improved,0.0,3.0,3.0,,degraded,-0.007976594136284907,0.003829081570404066,0.011805675706688973,1.480039664170184,improved,0.007976594136284907,0.003829081570404066,-0.004147512565880841,-0.5199603358298159,improved
test,location1,r200y_p0.7_d3h,design,caution,reliable,improved,matched,,0.011222721604274734,0.005114807686030872,-0.006107913918243862,-0.5442453384852172,improved,0.005633754539303482,0.0024647239091185233,-0.0031690306301849582,-0.5625077571407212,improved,0.9156570011042036,0.9661414528001976,0.050484451695994026,0.05513467557733313,improved,0.053376423675362925,0.021006541739425056,-0.03236988193593787,-0.6064453125000001,improved,0.004697980259504033,0.0018479108542315493,-0.0028500694052724833,-0.6066584463625153,improved,-0.022998809814453125,-0.0003592967987060547,0.02263951301574707,0.9843775916404047,improved,0.022998809814453125,0.0003592967987060547,-0.02263951301574707,-0.9843775916404047,improved,0.0,3.0,3.0,,degraded,-0.0048732164977361775,-0.005746659001445131,-0.0008734425037089533,-0.1792332649523586,degraded,0.0048732164977361775,0.005746659001445131,0.0008734425037089533,0.1792332649523586,degraded
