split,location,scenario,scenario_type,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,phase53_warning_level,warning_action,primary_failure_driver,secondary_failure_drivers,missing_metric_flags,phase48_warning_level,phase48_failure_drivers,warning_label_transition,warning_labels_are_probabilities
test,location1,G1135_intensity_103,measured,0.00553428673996515,0.0022169488753813007,0.9421053710957528,0.038229629009295704,0.0013497268055472824,0.013099308534274495,0.00725710391998291,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,caution,low wet/dry IoU,improved,False
test,location1,G1135_intensity_161,measured,0.0037657228151818174,0.0019539191077152887,0.9491893698813304,0.025656253711842263,0.0013412660402526764,0.01629357038837675,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,caution,low wet/dry IoU,improved,False
test,location1,G1166_intensity_246,measured,0.0052945007137597325,0.00214135687565431,0.9071202939659618,0.05676028958305403,0.0015701906962236121,0.029716564797417248,0.0,caution,use_with_caution_and_review_diagnostics,elevated volume-bias proxy,,,caution,low wet/dry IoU,unchanged,False
test,location1,G1166_intensity_394,measured,0.006279660254407067,0.0028175629364947477,0.9446912439354435,0.03558047386722014,0.002175549047082841,0.008569730664557948,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,caution,high RMSE,improved,False
test,location1,G3501_intensity_151,measured,0.004119740295626141,0.002208154124673456,0.9534419744593026,0.026602049147944267,0.00163403732651205,0.007641747405133102,0.006168365478515625,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,reliable,no major Phase 48 failure driver flagged,unchanged,False
test,location1,G3531_intensity_128,measured,0.006569440464807087,0.0027112020179629326,0.940218198273363,0.028833513481931583,0.003138710531080686,0.00587252930553758,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-wet rate,improved,False
test,location1,r100y_p0.5_d3h,design,0.005472416004106591,0.0025282855688904724,0.9627751515025302,0.02217122552466965,0.002136954424406231,0.004496034640937448,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | elevated false-wet rate,improved,False
test,location1,r100y_p0.8_d3h,design,0.006308179828777061,0.0028601693144689002,0.9572157671842763,0.01772879731672257,0.003371652569072946,0.010017994396185585,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | elevated false-wet rate,improved,False
test,location1,r200y_p0.5_d3h,design,0.0060148755574805386,0.0026940455039342246,0.9668254442719533,0.015914221218961626,0.0026572511255700893,0.003829081570404066,0.0018036365509033203,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location1,r200y_p0.7_d3h,design,0.005114807686030872,0.0024647239091185233,0.9661414528001976,0.021006541739425056,0.0018479108542315493,0.005746659001445131,0.0003592967987060547,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,caution,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location1,r300y_p0.1_d3h,design,0.0071317024841335225,0.002757610830788811,0.9647481982754451,0.02559000914880577,0.0016732235263389869,0.012096194325408254,0.008629322052001953,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,caution,high RMSE | peak-depth underprediction proxy,improved,False
test,location1,r300y_p0.5_d3h,design,0.0055982683509918875,0.00261876592412591,0.9676912721561588,0.0169053679291874,0.002460580791026808,0.0006152769966387732,0.0077898502349853516,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,caution,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location1,r300y_p0.6_d3h,design,0.005995774887190399,0.002693194857177635,0.9621241076020742,0.024593026315160037,0.002116113478235047,0.007732952561029911,0.011213541030883789,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
test,location1,r300y_p0.8_d3h,design,0.005865095585665224,0.0027303125631685057,0.9624180258954095,0.02111701886849399,0.0024751340364043382,0.001716456625335459,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location1,r500y_p0.1_d3h,design,0.007616249641823078,0.002947060236086448,0.9619928159465749,0.02879020690300969,0.0016824585570320565,0.014904512434829948,0.016324520111083984,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
test,location1,r500y_p0.3_d3h,design,0.006647549551509598,0.002985826945708444,0.9647952384804349,0.025077115679973155,0.0018203236147449197,0.013032823983248693,0.015378236770629883,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
test,location2,G1135_intensity_103,measured,0.004070526743277494,0.0014094827929511666,0.8795215128823455,0.08366942148760331,0.00082068488941498,0.033248401948920696,0.0,high-risk,high_risk_requires_review_or_supplemental_evidence,low wet/dry IoU,elevated volume-bias proxy,,high-risk,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy,unchanged,False
test,location2,G1135_intensity_161,measured,0.0030117618244296703,0.0012382132408674806,0.9301247503109336,0.040437030988763174,0.0005261303885544018,0.037198297371045914,0.044094204902648926,high-risk,high_risk_requires_review_or_supplemental_evidence,elevated volume-bias proxy,peak-depth underprediction proxy,,high-risk,low wet/dry IoU | elevated volume-bias proxy,unchanged,False
test,location2,G1166_intensity_246,measured,0.005451507039296597,0.0014946745747389893,0.8658261700095511,0.0916633266533066,0.000791387635230381,0.05863134937552032,0.15029680728912354,high-risk,high_risk_requires_review_or_supplemental_evidence,low wet/dry IoU,elevated volume-bias proxy | peak-depth underprediction proxy,,high-risk,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy,unchanged,False
