split,location,scenario,scenario_type,sample_id,start_idx,window_step,global_step,valid_pixel_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,mean_target_depth,mean_pred_depth,signed_volume_bias_proxy
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,0,12,16384,0.0018060513767627082,0.0012722332030534744,1.0,0.0,0.0,4.611425765688182e-07,-0.00044391650590114295,-963.6448054398974
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,1,13,16384,0.001804152945514207,0.0012682920787483454,1.0,0.0,0.0,5.49315473108436e-07,-0.0004488345584832132,-818.0797664652937
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,2,14,16384,0.001821944800886638,0.0012712405296042562,1.0,0.0,0.0,5.72425790323905e-07,-0.0004293731471989304,-751.0939937663732
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,3,15,16384,0.0018206966505883643,0.0012699184007942677,1.0,0.0,0.0,6.016510951667442e-07,-0.0004276782856322825,-711.8410323989419
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,4,16,16384,0.0018146855476612236,0.0012697065249085426,1.0,0.0,0.0,6.231794600353169e-07,-0.00044355838326737285,-712.7666927633261
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,5,17,16384,0.0018225464738117999,0.0012709078146144748,1.0,0.0,0.0,6.32140540801629e-07,-0.0004346623027231544,-688.6039024042838
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,6,18,16384,0.0018314124666790118,0.0012720422819256783,1.0,0.0,0.0,6.39532231616613e-07,-0.0004226915189065039,-661.9385704267353
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,7,19,16384,0.001839327439950657,0.0012734346091747284,1.0,0.0,0.0,6.518250756926136e-07,-0.0004130266315769404,-634.646429048573
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,8,20,16384,0.0018337989770968908,0.0012749014422297478,1.0,0.0,0.0,6.611382445953495e-07,-0.0004188392194919288,-634.512314430214
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,9,21,16384,0.0018436470757855273,0.0012769728200510144,1.0,0.0,0.0,6.607918408008118e-07,-0.0004097656928934157,-621.1131242734805
