split,location,scenario,scenario_type,sum_target_depth,sum_pred_depth,signed_summed_depth_bias,absolute_summed_depth_error,signed_volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy
test,location1,G1135_intensity_103,measured,28697.26422509551,28321.349906921387,-375.91431817412376,375.91431817412376,-0.013099308534274495,-0.013099308534274495,0.013099308534274495
test,location1,G1135_intensity_161,measured,21463.154472351074,21113.44305419922,-349.71141815185547,349.71141815185547,-0.01629357038837675,-0.01629357038837675,0.01629357038837675
test,location1,G1166_intensity_246,measured,16826.413038253784,16326.38984489441,-500.023193359375,500.023193359375,-0.029716564797417248,-0.029716564797417248,0.029716564797417248
test,location1,G1166_intensity_394,measured,50182.27057647705,49752.22203350067,-430.0485429763794,430.0485429763794,-0.008569730664557948,-0.008569730664557948,0.008569730664557948
test,location1,G3501_intensity_151,measured,33534.408313035965,33278.14683532715,-256.2614777088165,256.2614777088165,-0.007641747405133102,-0.007641747405133102,0.007641747405133102
test,location1,G3531_intensity_128,measured,42591.92623373866,42842.048568725586,250.12233498692513,250.12233498692513,0.00587252930553758,0.00587252930553758,0.00587252930553758
test,location1,r100y_p0.5_d3h,design,65620.90183258057,65325.86798477173,-295.0338478088379,295.0338478088379,-0.004496034640937448,-0.004496034640937448,0.004496034640937448
test,location1,r100y_p0.8_d3h,design,62857.32222747803,63487.026529312134,629.7043018341064,629.7043018341064,0.010017994396185585,0.010017994396185585,0.010017994396185585
test,location1,r200y_p0.5_d3h,design,74067.47737884521,74351.08779144287,283.61041259765625,283.61041259765625,0.003829081570404066,0.003829081570404066,0.003829081570404066
test,location1,r200y_p0.7_d3h,design,69971.44654846191,69569.34450531006,-402.10204315185547,402.10204315185547,-0.005746659001445131,-0.005746659001445131,0.005746659001445131
test,location1,r300y_p0.1_d3h,design,82404.31396484375,81407.53536987305,-996.7785949707031,996.7785949707031,-0.012096194325408254,-0.012096194325408254,0.012096194325408254
test,location1,r300y_p0.5_d3h,design,78443.30079650879,78395.03643798828,-48.26435852050781,48.26435852050781,-0.0006152769966387732,-0.0006152769966387732,0.0006152769966387732
test,location1,r300y_p0.6_d3h,design,77245.24517822266,76647.91136169434,-597.3338165283203,597.3338165283203,-0.007732952561029911,-0.007732952561029911,0.007732952561029911
test,location1,r300y_p0.8_d3h,design,74057.99505615234,73930.87771987915,-127.11733627319336,127.11733627319336,-0.001716456625335459,-0.001716456625335459,0.001716456625335459
test,location1,r500y_p0.1_d3h,design,88343.20123291016,87026.48889160156,-1316.7123413085938,1316.7123413085938,-0.014904512434829948,-0.014904512434829948,0.014904512434829948
test,location1,r500y_p0.3_d3h,design,87588.65408325195,86447.12657165527,-1141.5275115966797,1141.5275115966797,-0.013032823983248693,-0.013032823983248693,0.013032823983248693
test,location2,G1135_intensity_103,measured,6585.031219482422,6366.089454650879,-218.94176483154297,218.94176483154297,-0.033248401948920696,-0.033248401948920696,0.033248401948920696
test,location2,G1135_intensity_161,measured,5412.858737945557,5211.5096089839935,-201.3491289615631,201.3491289615631,-0.037198297371045914,-0.037198297371045914,0.037198297371045914
test,location2,G1166_intensity_246,measured,5599.475788116455,5271.170966863632,-328.3048212528229,328.3048212528229,-0.05863134937552032,-0.05863134937552032,0.05863134937552032
test,location2,G1166_intensity_394,measured,11201.60075378418,11172.533414840698,-29.067338943481445,29.067338943481445,-0.002594927241417864,-0.002594927241417864,0.002594927241417864
test,location2,G3501_intensity_151,measured,8520.499671936035,8208.924651145935,-311.5750207901001,311.5750207901001,-0.03656769353754388,-0.03656769353754388,0.03656769353754388
test,location2,G3531_intensity_128,measured,9007.126155853271,8949.990756511688,-57.13539934158325,57.13539934158325,-0.006343355067193532,-0.006343355067193532,0.006343355067193532
test,location2,r100y_p0.5_d3h,design,21581.902130126953,21559.7254447937,-22.176685333251953,22.176685333251953,-0.0010275593504010345,-0.0010275593504010345,0.0010275593504010345
