batch_index,sample_index,forecast_step,adaptive_alpha_scale,future_rainfall,location,event,start_idx
0,0,0,1.0184163,3.7808027,location1,r300y_p0.9_d3h,0
0,0,1,1.0184163,3.7808027,location1,r300y_p0.9_d3h,0
0,0,2,1.0195575,4.037302,location1,r300y_p0.9_d3h,0
0,0,3,1.0195575,4.037302,location1,r300y_p0.9_d3h,0
0,0,4,1.0209389,4.3474674,location1,r300y_p0.9_d3h,0
0,0,5,1.0209389,4.3474674,location1,r300y_p0.9_d3h,0
0,0,6,1.0226514,4.7319784,location1,r300y_p0.9_d3h,0
0,0,7,1.0226514,4.7319784,location1,r300y_p0.9_d3h,0
0,0,8,1.0248399,5.2242155,location1,r300y_p0.9_d3h,0
0,0,9,1.0248399,5.2242155,location1,r300y_p0.9_d3h,0
0,0,10,1.0277482,5.8820105,location1,r300y_p0.9_d3h,0
0,0,11,1.0277482,5.8820105,location1,r300y_p0.9_d3h,0
0,1,0,1.0226514,4.7319784,location1,r300y_p0.9_d3h,6
0,1,1,1.0226514,4.7319784,location1,r300y_p0.9_d3h,6
0,1,2,1.0248399,5.2242155,location1,r300y_p0.9_d3h,6
0,1,3,1.0248399,5.2242155,location1,r300y_p0.9_d3h,6
0,1,4,1.0277482,5.8820105,location1,r300y_p0.9_d3h,6
0,1,5,1.0277482,5.8820105,location1,r300y_p0.9_d3h,6
0,1,6,1.0318201,6.815629,location1,r300y_p0.9_d3h,6
0,1,7,1.0318201,6.815629,location1,r300y_p0.9_d3h,6
0,1,8,1.0379442,8.2661028,location1,r300y_p0.9_d3h,6
0,1,9,1.0379442,8.2661028,location1,r300y_p0.9_d3h,6
0,1,10,1.0481493,10.886112,location1,r300y_p0.9_d3h,6
0,1,11,1.0481493,10.886112,location1,r300y_p0.9_d3h,6
1,0,0,1.0318201,6.815629,location1,r300y_p0.9_d3h,12
1,0,1,1.0318201,6.815629,location1,r300y_p0.9_d3h,12
1,0,2,1.0379442,8.2661028,location1,r300y_p0.9_d3h,12
1,0,3,1.0379442,8.2661028,location1,r300y_p0.9_d3h,12
1,0,4,1.0481493,10.886112,location1,r300y_p0.9_d3h,12
1,0,5,1.0481493,10.886112,location1,r300y_p0.9_d3h,12
1,0,6,1.0678873,17.311226,location1,r300y_p0.9_d3h,12
1,0,7,1.0678873,17.311226,location1,r300y_p0.9_d3h,12
1,0,8,1.0580062,13.795045,location1,r300y_p0.9_d3h,12
1,0,9,1.0580062,13.795045,location1,r300y_p0.9_d3h,12
1,0,10,1.0173666,3.5444596,location1,r300y_p0.9_d3h,12
1,0,11,1.0173666,3.5444596,location1,r300y_p0.9_d3h,12
1,1,0,1.0243773,5.1200199,location1,r500y_p0.6_d3h,0
1,1,1,1.0243773,5.1200199,location1,r500y_p0.6_d3h,0
1,1,2,1.0284106,6.0326815,location1,r500y_p0.6_d3h,0
1,1,3,1.0284106,6.0326815,location1,r500y_p0.6_d3h,0
1,1,4,1.0350006,7.5604234,location1,r500y_p0.6_d3h,0
1,1,5,1.0350006,7.5604234,location1,r500y_p0.6_d3h,0
1,1,6,1.047802,10.79142,location1,r500y_p0.6_d3h,0
1,1,7,1.047802,10.79142,location1,r500y_p0.6_d3h,0
1,1,8,1.0771929,21.574987,location1,r500y_p0.6_d3h,0
1,1,9,1.0771929,21.574987,location1,r500y_p0.6_d3h,0
1,1,10,1.0555634,13.029296,location1,r500y_p0.6_d3h,0
1,1,11,1.0555634,13.029296,location1,r500y_p0.6_d3h,0
2,0,0,1.047802,10.79142,location1,r500y_p0.6_d3h,6
2,0,1,1.047802,10.79142,location1,r500y_p0.6_d3h,6
2,0,2,1.0771929,21.574987,location1,r500y_p0.6_d3h,6
2,0,3,1.0771929,21.574987,location1,r500y_p0.6_d3h,6
2,0,4,1.0555634,13.029296,location1,r500y_p0.6_d3h,6
2,0,5,1.0555634,13.029296,location1,r500y_p0.6_d3h,6
2,0,6,1.0334274,7.1900043,location1,r500y_p0.6_d3h,6
2,0,7,1.0334274,7.1900043,location1,r500y_p0.6_d3h,6
2,0,8,1.0254005,5.3506227,location1,r500y_p0.6_d3h,6
2,0,9,1.0254005,5.3506227,location1,r500y_p0.6_d3h,6
2,0,10,1.0211653,4.3982825,location1,r500y_p0.6_d3h,6
2,0,11,1.0211653,4.3982825,location1,r500y_p0.6_d3h,6
2,1,0,1.0334274,7.1900043,location1,r500y_p0.6_d3h,12
2,1,1,1.0334274,7.1900043,location1,r500y_p0.6_d3h,12
2,1,2,1.0254005,5.3506227,location1,r500y_p0.6_d3h,12
2,1,3,1.0254005,5.3506227,location1,r500y_p0.6_d3h,12
2,1,4,1.0211653,4.3982825,location1,r500y_p0.6_d3h,12
2,1,5,1.0211653,4.3982825,location1,r500y_p0.6_d3h,12
2,1,6,1.0185026,3.8001902,location1,r500y_p0.6_d3h,12
2,1,7,1.0185026,3.8001902,location1,r500y_p0.6_d3h,12
2,1,8,1.0166503,3.3828735,location1,r500y_p0.6_d3h,12
2,1,9,1.0166503,3.3828735,location1,r500y_p0.6_d3h,12
2,1,10,1.0152749,3.071661,location1,r500y_p0.6_d3h,12
2,1,11,1.0152749,3.071661,location1,r500y_p0.6_d3h,12
3,0,0,1.0135089,2.6693373,location2,r500y_p0.9_d3h,0
3,0,1,1.0139362,2.7670264,location2,r500y_p0.9_d3h,0
3,0,2,1.0141503,2.815871,location2,r500y_p0.9_d3h,0
3,0,3,1.0141503,2.815871,location2,r500y_p0.9_d3h,0
3,0,4,1.0149012,2.9867995,location2,r500y_p0.9_d3h,0
3,0,5,1.0149012,2.9867995,location2,r500y_p0.9_d3h,0
3,0,6,1.0151986,3.0543435,location2,r500y_p0.9_d3h,0
3,0,7,1.0157946,3.1894317,location2,r500y_p0.9_d3h,0
3,0,8,1.0157946,3.1894317,location2,r500y_p0.9_d3h,0
3,0,9,1.016517,3.3527832,location2,r500y_p0.9_d3h,0
3,0,10,1.0168788,3.4344592,location2,r500y_p0.9_d3h,0
3,0,11,1.0168788,3.4344592,location2,r500y_p0.9_d3h,0
3,1,0,1.0151986,3.0543435,location2,r500y_p0.9_d3h,6
3,1,1,1.0157946,3.1894317,location2,r500y_p0.9_d3h,6
3,1,2,1.0157946,3.1894317,location2,r500y_p0.9_d3h,6
3,1,3,1.016517,3.3527832,location2,r500y_p0.9_d3h,6
3,1,4,1.0168788,3.4344592,location2,r500y_p0.9_d3h,6
3,1,5,1.0168788,3.4344592,location2,r500y_p0.9_d3h,6
3,1,6,1.0182271,3.7382197,location2,r500y_p0.9_d3h,6
3,1,7,1.0182271,3.7382197,location2,r500y_p0.9_d3h,6
3,1,8,1.0188034,3.8678403,location2,r500y_p0.9_d3h,6
3,1,9,1.0199573,4.1270819,location2,r500y_p0.9_d3h,6
3,1,10,1.0199573,4.1270819,location2,r500y_p0.9_d3h,6
3,1,11,1.0215003,4.4735165,location2,r500y_p0.9_d3h,6
4,0,0,1.0182271,3.7382197,location2,r500y_p0.9_d3h,12
4,0,1,1.0182271,3.7382197,location2,r500y_p0.9_d3h,12
4,0,2,1.0188034,3.8678403,location2,r500y_p0.9_d3h,12
4,0,3,1.0199573,4.1270819,location2,r500y_p0.9_d3h,12
4,0,4,1.0199573,4.1270819,location2,r500y_p0.9_d3h,12
