model,forecast_step,tp,fp,fn,tn,iou,precision,recall,target_wet_area_ratio,prediction_wet_area_ratio
static_af025,0,7836,963,4569,52168,0.586176,0.890556,0.631681,0.189285,0.134262
static_af025,1,8132,819,4279,52306,0.614664,0.908502,0.655225,0.189377,0.136581
static_af025,2,8447,693,4006,52390,0.642553,0.924179,0.678310,0.190018,0.139465
static_af025,3,9047,623,3644,52222,0.679510,0.935574,0.712867,0.193649,0.147552
static_af025,4,8901,351,4169,52115,0.663214,0.962062,0.681025,0.199432,0.141174
static_af025,5,9134,342,4276,51784,0.664194,0.963909,0.681133,0.204620,0.144592
static_af025,6,9267,460,3754,52055,0.687412,0.952709,0.711696,0.198685,0.148422
static_af025,7,9604,764,2791,52377,0.729843,0.926312,0.774829,0.189133,0.158203
static_af025,8,9704,1064,2179,52589,0.749517,0.901189,0.816629,0.181320,0.164307
static_af025,9,10037,1878,1387,52234,0.754548,0.842384,0.878589,0.174316,0.181808
static_af025,10,10053,2624,965,51894,0.736915,0.793011,0.912416,0.168121,0.193436
static_af025,11,10127,5216,526,49667,0.638162,0.660040,0.950624,0.162552,0.234116
adapt010,0,7437,851,4968,52280,0.561029,0.897321,0.599516,0.189285,0.126465
adapt010,1,8075,839,4336,52286,0.609434,0.905878,0.650633,0.189377,0.136017
adapt010,2,8507,828,3946,52255,0.640539,0.911302,0.683129,0.190018,0.142441
adapt010,3,9087,766,3604,52079,0.675262,0.922257,0.716019,0.193649,0.150345
adapt010,4,9795,996,3275,51470,0.696360,0.907701,0.749426,0.199432,0.164658
adapt010,5,8361,325,5049,51801,0.608737,0.962583,0.623490,0.204620,0.132538
adapt010,6,9092,667,3929,51848,0.664231,0.931653,0.698257,0.198685,0.148911
adapt010,7,9650,1449,2745,51692,0.697053,0.869448,0.778540,0.189133,0.169357
adapt010,8,9655,1173,2228,52480,0.739507,0.891670,0.812505,0.181320,0.165222
adapt010,9,10309,4088,1115,50024,0.664582,0.716052,0.902398,0.174316,0.219681
adapt010,10,9227,1452,1791,53066,0.739936,0.864032,0.837448,0.168121,0.162949
adapt010,11,9763,3647,890,51236,0.682727,0.728039,0.916455,0.162552,0.204620
